Cooling Degree Days E. N. Central Monthly
https://www.eia.gov/opendata/qb.php?category=1039993&sdid=STEO.ZWCD_ENC.M
22:27:58 GMT-0800 (Pacific Standard Time)
Source: U.S. Energy Information Administration
Month,Series ID: STEO.ZWCD_ENC.M total degree days
Dec 2022,0
Nov 2022,0
Oct 2022,5.7416651326
Sep 2022,62.91181816
Aug 2022,208.09235593
Jul 2022,246.6432591
Jun 2022,154.30470927
May 2022,53.044782767
Apr 2022,1.487351735
Mar 2022,0.41267003041
Feb 2022,0
Jan 2022,0
Dec 2021,0
Nov 2021,0
Oct 2021,40.63849956
Sep 2021,105.59162981
Aug 2021,285.86299887
Jul 2021,238.31840272
Jun 2021,214.96295727
May 2021,34.774331431
Apr 2021,0.26919377204
Mar 2021,2.1695176703
Feb 2021,0
Jan 2021,0
Dec 2020,0
Nov 2020,0
Oct 2020,1.9848117997
Sep 2020,54.301523698
Aug 2020,218.08519603
Jul 2020,334.54336091
Jun 2020,186.02725219
May 2020,31.787544876
Apr 2020,0
Mar 2020,2.0046513579
Feb 2020,0
Jan 2020,0
Dec 2019,0
Nov 2019,0
Oct 2019,6.6535563474
Sep 2019,134.99414783
Aug 2019,194.61946726
Jul 2019,319.93813139
Jun 2019,127.07979687
May 2019,47.280694549
Apr 2019,0.80578199973
Mar 2019,0
Feb 2019,0
Jan 2019,0
Dec 2018,0
Nov 2018,0
Oct 2018,3.875193199
Sep 2018,122.42884099
Aug 2018,256.58129063
Jul 2018,257.38327391
Jun 2018,192.05152854
May 2018,139.8731875
Apr 2018,0
Mar 2018,0
Feb 2018,0
Jan 2018,0
Dec 2017,0
Nov 2017,0
Oct 2017,15.670839281
Sep 2017,92.302285708
Aug 2017,147.73329399
Jul 2017,242.04074374
Jun 2017,167.11369876
May 2017,36.779197621
Apr 2017,6.5799189332
Mar 2017,0.55680891004
Feb 2017,0
Jan 2017,0
Dec 2016,0
Nov 2016,0
Oct 2016,18.752815131
Sep 2016,130.9235292
Aug 2016,296.75382163
Jul 2016,276.68867332
Jun 2016,187.84434269
May 2016,42.425384379
Apr 2016,0.69074029027
Mar 2016,3.4699988036
Feb 2016,0
Jan 2016,0
Dec 2015,1.5500339077
Nov 2015,0
Oct 2015,7.2154743452
Sep 2015,127.20527091
Aug 2015,169.43450347
Jul 2015,202.11442889
Jun 2015,138.81778655
May 2015,81.813156599
Apr 2015,1.1086098795
Mar 2015,0
Feb 2015,0
Jan 2015,0
Dec 2014,0
Nov 2014,0
Oct 2014,2.6642725263
Sep 2014,46.484504452
Aug 2014,197.13383952
Jul 2014,133.12862433
Jun 2014,176.00980157
May 2014,53.581031703
Apr 2014,0.55746611216
Mar 2014,0
Feb 2014,0
Jan 2014,0
Dec 2013,0
Nov 2013,0
Oct 2013,5.4309481007
Sep 2013,72.452618803
Aug 2013,181.01291144
Jul 2013,217.28169591
Jun 2013,142.13403058
May 2013,70.623701392
Apr 2013,0
Mar 2013,0
Feb 2013,0
Jan 2013,0
Dec 2012,0
Nov 2012,0
Oct 2012,1.0818382311
Sep 2012,45.808053543
Aug 2012,200.44763265
Jul 2012,410.3078751
Jun 2012,181.09079384
May 2012,111.58129339
Apr 2012,1.110797211
Mar 2012,22.200652063
Feb 2012,0
Jan 2012,0
Dec 2011,0
Nov 2011,0
Oct 2011,4.6011665443
Sep 2011,42.046566155
Aug 2011,219.9747002
Jul 2011,374.9970238
Jun 2011,166.19884811
May 2011,48.402520137
Apr 2011,1.3298177419
Mar 2011,0.41670277703
Feb 2011,0
Jan 2011,0
Dec 2010,0
Nov 2010,0
Oct 2010,8.7060351261
Sep 2010,71.209790515
Aug 2010,287.98432905
Jul 2010,313.86704279
Jun 2010,200.22261429
May 2010,72.491514543
Apr 2010,8.3009771176
