Cooling Degree Days E. S. Central Monthly
https://www.eia.gov/opendata/qb.php?category=1039993&sdid=STEO.ZWCD_ESC.M
22:28:10 GMT-0800 (Pacific Standard Time)
Source: U.S. Energy Information Administration
Month,Series ID: STEO.ZWCD_ESC.M total degree days
Dec 2022,2.4503526986
Nov 2022,6.7383774695
Oct 2022,52.679926086
Sep 2022,214.26240813
Aug 2022,397.28586604
Jul 2022,419.55211307
Jun 2022,313.89826172
May 2022,155.21683693
Apr 2022,35.664456634
Mar 2022,19.367827751
Feb 2022,5.1115984244
Jan 2022,6.0121661049
Dec 2021,2.865903611
Nov 2021,7.6710651553
Oct 2021,104.47039435
Sep 2021,206.85069398
Aug 2021,412.6166145
Jul 2021,399.71556205
Jun 2021,307.47869153
May 2021,110.69049876
Apr 2021,18.566501426
Mar 2021,34.108728717
Feb 2021,0.82064485003
Jan 2021,5.6385286263
Dec 2020,1.1242635535
Nov 2020,12.561130701
Oct 2020,66.917624482
Sep 2020,210.64273369
Aug 2020,388.40403981
Jul 2020,463.3017495
Jun 2020,297.43508651
May 2020,106.541115
Apr 2020,21.355811405
Mar 2020,56.176727883
Feb 2020,4.3147344303
Jan 2020,13.033645573
Dec 2019,5.5001703658
Nov 2019,0.82371550005
Oct 2019,80.441541985
Sep 2019,382.10964389
Aug 2019,408.33434504
Jul 2019,428.55958257
Jun 2019,300.12136095
May 2019,220.44138675
Apr 2019,31.283185257
Mar 2019,9.8707890613
Feb 2019,13.939398156
Jan 2019,4.9511611544
Dec 2018,2.3711960246
Nov 2018,0.97948084613
Oct 2018,77.167623007
Sep 2018,338.05113666
Aug 2018,391.66976521
Jul 2018,430.29094465
Jun 2018,376.21663373
May 2018,267.59994104
Apr 2018,7.3337404529
Mar 2018,14.527907484
Feb 2018,21.758847181
Jan 2018,0.67212353614
Dec 2017,1.3959270402
Nov 2017,6.2058906155
Oct 2017,65.950964063
Sep 2017,194.20414327
Aug 2017,340.81518934
Jul 2017,429.79004519
Jun 2017,272.43849675
May 2017,135.08366022
Apr 2017,74.292050881
Mar 2017,27.522071593
Feb 2017,17.702120374
Jan 2017,20.087214819
Dec 2016,3.8898471676
Nov 2016,11.899829032
Oct 2016,113.4291619
Sep 2016,320.85230147
Aug 2016,460.06119388
Jul 2016,472.90961266
Jun 2016,371.07083082
May 2016,124.36810618
Apr 2016,37.181439375
Mar 2016,36.067722388
Feb 2016,3.4360858481
Jan 2016,2.1343704668
Dec 2015,23.696374351
Nov 2015,16.067621503
Oct 2015,58.767626274
Sep 2015,235.07622343
Aug 2015,339.38427416
Jul 2015,442.4290795
Jun 2015,352.57452438
May 2015,174.81947474
Apr 2015,52.155823185
Mar 2015,20.610502111
Feb 2015,0
Jan 2015,2.5575200294
Dec 2014,3.8088711487
Nov 2014,0.41699114591
Oct 2014,60.685702537
Sep 2014,236.53679147
Aug 2014,375.44427013
Jul 2014,307.38931946
Jun 2014,329.12943099
May 2014,147.33776341
Apr 2014,26.147741917
Mar 2014,4.5934233486
Feb 2014,1.4114694564
Jan 2014,0.25909916322
Dec 2013,1.671032237
Nov 2013,1.4121637017
Oct 2013,54.92030478
Sep 2013,235.14184552
Aug 2013,342.1790374
Jul 2013,338.49290038
Jun 2013,319.06786972
May 2013,112.78159402
Apr 2013,20.205701836
Mar 2013,2.3096745406
Feb 2013,2.3100624712
Jan 2013,9.2038380164
Dec 2012,6.4658802865
Nov 2012,1.1556141611
Oct 2012,30.587204629
Sep 2012,188.73791091
Aug 2012,359.92369929
Jul 2012,496.51440284
Jun 2012,300.32683564
May 2012,224.3658465
Apr 2012,45.560192988
Mar 2012,87.705324783
Feb 2012,6.6903236188
Jan 2012,12.510361928
Dec 2011,2.3544449221
Nov 2011,5.5959411188
Oct 2011,25.548327316
Sep 2011,165.49982529
Aug 2011,437.63207188
Jul 2011,488.73690713
Jun 2011,388.89921227
May 2011,130.10027775
Apr 2011,55.405775376
Mar 2011,22.648447355
Feb 2011,2.9996253057
Jan 2011,1.5803095165
Dec 2010,0
Nov 2010,5.5201531144
Oct 2010,51.470819392
Sep 2010,260.99233276
Aug 2010,491.68097365
Jul 2010,483.11870945
Jun 2010,425.59149485
May 2010,202.66845981
Apr 2010,45.580937309
Mar 2010,7.9791895772
Feb 2010,0
Jan 2010,0.84074738045
Dec 2009,0.42042345953
Nov 2009,3.2520889862
Oct 2009,33.048333511
Sep 2009,228.58797051
Aug 2009,339.66748244
Jul 2009,318.44728376
Jun 2009,355.26740177
May 2009,149.87017458
Apr 2009,22.021668192
Mar 2009,21.482835131
Feb 2009,2.8137919386
Jan 2009,4.2725683045
Dec 2008,3.2057496989
Nov 2008,1.5861085262
Oct 2008,34.735266395
Sep 2008,234.9331557
Aug 2008,349.62953129
Jul 2008,400.18604569
Jun 2008,347.21359081
May 2008,120.85531134
Apr 2008,25.219063354
Mar 2008,13.912603377
Feb 2008,3.0784139342
Jan 2008,2.4304469101
Dec 2007,5.9630835279
Nov 2007,3.6630158935
Oct 2007,89.223908389
Sep 2007,280.86964268
Aug 2007,554.25884217
Jul 2007,371.77175405
Jun 2007,342.72079399
May 2007,178.68597309
Apr 2007,12.749539989
Mar 2007,45.937295216
Feb 2007,1.1683614568
Jan 2007,5.3202614317
Dec 2006,3.1152748617
Nov 2006,2.175313646
Oct 2006,31.904000667
Sep 2006,158.54983537
Aug 2006,468.66999742
Jul 2006,441.45995981
Jun 2006,296.99536356
May 2006,128.43458473
Apr 2006,78.687714049
Mar 2006,17.475517949
Feb 2006,1.1717104267
Jan 2006,18.334740048
Dec 2005,0.4228010978
Nov 2005,6.8205475952
Oct 2005,47.588175743
Sep 2005,285.49899247
Aug 2005,450.7845737
Jul 2005,431.08881664
Jun 2005,307.84575315
May 2005,96.304792979
Apr 2005,22.256184798
Mar 2005,8.5244657183
Feb 2005,5.6602982963
Jan 2005,12.014469678
Dec 2004,0.4239743025
Nov 2004,12.74528742
Oct 2004,102.25447463
Sep 2004,207.00979247
Aug 2004,274.49952239
Jul 2004,364.73603348
Jun 2004,293.26216635
May 2004,207.27347434
Apr 2004,20.317494089
Mar 2004,29.917487399
Feb 2004,0.68408963172
Jan 2004,3.2100353331
Dec 2003,0.25946051369
Nov 2003,12.612412007
Oct 2003,44.521707454
Sep 2003,173.75940483
Aug 2003,401.61620623
Jul 2003,373.21457327
Jun 2003,230.31984284
May 2003,156.13262914
Apr 2003,34.726564474
Mar 2003,21.038214799
Feb 2003,1.701695032
Jan 2003,1.0166079963
Dec 2002,1.01679302
Nov 2002,1.1826833838
Oct 2002,76.117054409
Sep 2002,294.13538331
Aug 2002,417.97686925
Jul 2002,446.05800331
Jun 2002,324.97658619
May 2002,118.07850785
Apr 2002,56.362528232
Mar 2002,12.97686371
Feb 2002,1.01874167
Jan 2002,6.3020626911
Dec 2001,4.3370307986
Nov 2001,14.360612927
Oct 2001,25.052863702
Sep 2001,161.66249054
Aug 2001,388.49333099
Jul 2001,402.88633573
Jun 2001,258.22144078
May 2001,153.81993008
Apr 2001,55.37354126
Mar 2001,4.68054399
Feb 2001,7.1513483346
Jan 2001,1.2823361496
Dec 2000,0
Nov 2000,1.7104358328
Oct 2000,62.673937041
Sep 2000,203.99441446
Aug 2000,417.46731466
Jul 2000,413.75592112
Jun 2000,311.7464226
May 2000,203.59768285
Apr 2000,13.668233002
Mar 2000,30.834831339
Feb 2000,8.0750735462
Jan 2000,5.548331328
Dec 1999,1.4526721581
Nov 1999,8.8838602014
Oct 1999,43.207479972
Sep 1999,195.85061922
Aug 1999,424.96793897
Jul 1999,466.47839687
Jun 1999,312.69046875
May 1999,133.93799524
Apr 1999,65.663476832
Mar 1999,7.0828938704
Feb 1999,7.1561039319
Jan 1999,11.255211117
Dec 1998,4.9866844025
Nov 1998,11.216479122
Oct 1998,78.878741397
Sep 1998,319.94014259
Aug 1998,399.42769763
Jul 1998,441.61504112
Jun 1998,371.61087509
May 1998,208.52847484
Apr 1998,18.875904888
Mar 1998,11.419721116
Feb 1998,3.1520010015
Jan 1998,11.279548036
Dec 1997,0.43022713682
Nov 1997,0.59757743334
Oct 1997,39.03198466
Sep 1997,211.33804648
Aug 1997,326.6664898
Jul 1997,417.17781764
Jun 1997,226.64573021
May 1997,76.670044744
Apr 1997,7.4587927549
Mar 1997,37.209091643
Feb 1997,5.6345432829
Jan 1997,4.0440818612
Dec 1996,2.990840248
Nov 1996,2.9911918545
Oct 1996,40.731404368
Sep 1996,162.48764043
Aug 1996,345.38588811
Jul 1996,370.1805247
Jun 1996,292.70322395
May 1996,192.78206192
Apr 1996,11.188975357
Mar 1996,3.2584944742
Feb 1996,1.797067061
Jan 1996,2.8282023445
Dec 1995,0.59926301786
Nov 1995,1.0312059532
Oct 1995,42.948702497
Sep 1995,183.22465955
Aug 1995,482.38458418
Jul 1995,427.50185267
