Cooling Degree Days Middle Atlantic Monthly
https://www.eia.gov/opendata/qb.php?category=1039993&sdid=STEO.ZWCD_MAC.M
22:28:21 GMT-0800 (Pacific Standard Time)
Source: U.S. Energy Information Administration
Month,Series ID: STEO.ZWCD_MAC.M total degree days
Dec 2022,0
Nov 2022,0
Oct 2022,4.6275230044
Sep 2022,61.477968428
Aug 2022,216.64331257
Jul 2022,252.5951497
Jun 2022,122.71641823
May 2022,24.267339765
Apr 2022,0
Mar 2022,0
Feb 2022,0
Jan 2022,0
Dec 2021,0
Nov 2021,0
Oct 2021,12.545307658
Sep 2021,95.117553082
Aug 2021,289.30054491
Jul 2021,253.05842791
Jun 2021,166.94378855
May 2021,17.918382811
Apr 2021,0
Mar 2021,0
Feb 2021,0
Jan 2021,0
Dec 2020,0
Nov 2020,0
Oct 2020,4.4008839958
Sep 2020,59.359388676
Aug 2020,261.20218096
Jul 2020,363.31562004
Jun 2020,145.63685614
May 2020,11.456832917
Apr 2020,0
Mar 2020,0
Feb 2020,0
Jan 2020,0
Dec 2019,0
Nov 2019,0
Oct 2019,7.9313056092
Sep 2019,87.739035961
Aug 2019,218.11305254
Jul 2019,325.34651485
Jun 2019,112.05352386
May 2019,31.217036007
Apr 2019,0.43602779417
Mar 2019,0
Feb 2019,0
Jan 2019,0
Dec 2018,0
Nov 2018,0
Oct 2018,3.7001496805
Sep 2018,121.39880339
Aug 2018,297.65241377
Jul 2018,287.02607788
Jun 2018,110.58818805
May 2018,64.894435766
Apr 2018,0
Mar 2018,0
Feb 2018,0
Jan 2018,0
Dec 2017,0
Nov 2017,0
Oct 2017,21.602016341
Sep 2017,87.021948076
Aug 2017,162.19100371
Jul 2017,250.90325973
Jun 2017,122.46397346
May 2017,14.317178283
Apr 2017,2.1801697831
Mar 2017,0
Feb 2017,0
Jan 2017,0
Dec 2016,0
Nov 2016,0
Oct 2016,5.5676775706
Sep 2016,114.03382366
Aug 2016,311.91850141
Jul 2016,309.65408635
Jun 2016,129.17620326
May 2016,16.962724971
Apr 2016,0
Mar 2016,0
Feb 2016,0
Jan 2016,0
Dec 2015,0.86426902882
Nov 2015,0
Oct 2015,0.86400630402
Sep 2015,136.14158899
Aug 2015,230.07016795
Jul 2015,249.9777702
Jun 2015,113.88894784
May 2015,72.158565319
Apr 2015,0
Mar 2015,0
Feb 2015,0
Jan 2015,0
Dec 2014,0
Nov 2014,0
Oct 2014,5.5097726969
Sep 2014,64.822165801
Aug 2014,150.16949552
Jul 2014,218.60344266
Jun 2014,130.90291973
May 2014,26.057675619
Apr 2014,0
Mar 2014,0
Feb 2014,0
Jan 2014,0
Dec 2013,0
Nov 2013,0
Oct 2013,5.6464691264
Sep 2013,36.123900126
Aug 2013,158.81717737
Jul 2013,325.80105935
Jun 2013,132.2972784
May 2013,22.509743807
Apr 2013,0
Mar 2013,0
Feb 2013,0
Jan 2013,0
Dec 2012,0
Nov 2012,0
Oct 2012,4.9834856112
Sep 2012,59.845652301
Aug 2012,237.16950732
Jul 2012,330.97692277
Jun 2012,114.98409275
May 2012,64.565638829
Apr 2012,0
Mar 2012,1.9748724655
Feb 2012,0
Jan 2012,0
Dec 2011,0
Nov 2011,0
Oct 2011,2.6456938355
Sep 2011,93.470016886
Aug 2011,211.33529271
Jul 2011,339.27320777
Jun 2011,147.09716625
May 2011,41.314425333
Apr 2011,0
Mar 2011,0
Feb 2011,0
Jan 2011,0
Dec 2010,0
Nov 2010,0
Oct 2010,3.1708623631
Sep 2010,92.151870498
Aug 2010,242.14657228
Jul 2010,339.22314017
Jun 2010,187.0470602
May 2010,44.279405873
Apr 2010,0.43026925035
Mar 2010,0
Feb 2010,0
Jan 2010,0
Dec 2009,0
Nov 2009,0
Oct 2009,0.64513372074
