Cooling Degree Days Mountain Monthly
https://www.eia.gov/opendata/qb.php?category=1039993&sdid=STEO.ZWCD_MTN.M
22:28:30 GMT-0800 (Pacific Standard Time)
Source: U.S. Energy Information Administration
Month,Series ID: STEO.ZWCD_MTN.M total degree days
Dec 2022,0.28814034784
Nov 2022,8.5665110245
Oct 2022,66.710010045
Sep 2022,201.41710818
Aug 2022,342.66564611
Jul 2022,388.96704037
Jun 2022,261.68784998
May 2022,121.84499653
Apr 2022,40.5693596
Mar 2022,12.394981548
Feb 2022,3.4143709561
Jan 2022,1.3187868649
Dec 2021,0.2875916259
Nov 2021,8.5507800844
Oct 2021,36.353338748
Sep 2021,218.41320973
Aug 2021,328.64574455
Jul 2021,413.26843262
Jun 2021,345.5071964
May 2021,124.8209367
Apr 2021,58.159067651
Mar 2021,7.0669559907
Feb 2021,3.1588637196
Jan 2021,0.043435064294
Dec 2020,0
Nov 2020,14.532726478
Oct 2020,102.30975641
Sep 2020,225.95839806
Aug 2020,437.3939072
Jul 2020,411.79153463
Jun 2020,262.13678367
May 2020,158.04221704
Apr 2020,42.853911476
Mar 2020,7.8456268238
Feb 2020,2.0089310698
Jan 2020,0
Dec 2019,0
Nov 2019,10.500643088
Oct 2019,47.800670647
Sep 2019,204.504406
Aug 2019,382.15007032
Jul 2019,392.08293677
Jun 2019,230.28990844
May 2019,56.003592899
Apr 2019,49.733823602
Mar 2019,10.001970529
Feb 2019,0
Jan 2019,0.043669113157
Dec 2018,0
Nov 2018,4.7931201493
Oct 2018,44.325719925
Sep 2018,235.276772
Aug 2018,340.87026401
Jul 2018,412.38228073
Jun 2018,295.96021035
May 2018,134.95422488
Apr 2018,69.383598963
Mar 2018,13.634100437
Feb 2018,2.5771440035
Jan 2018,4.1764991217
Dec 2017,1.1454523375
Nov 2017,28.615300901
Oct 2017,90.407020372
Sep 2017,175.66245753
Aug 2017,326.80003843
Jul 2017,412.15473422
Jun 2017,305.08317396
May 2017,107.84931582
Apr 2017,49.992562984
Mar 2017,31.093481549
Feb 2017,5.1981671711
Jan 2017,0
Dec 2016,0
Nov 2016,13.551110106
Oct 2016,97.902685055
Sep 2016,171.78343894
Aug 2016,303.27488673
Jul 2016,405.43009349
Jun 2016,328.97055324
May 2016,89.297712444
Apr 2016,41.454609994
Mar 2016,23.84509168
Feb 2016,9.9610217762
Jan 2016,0
Dec 2015,0
Nov 2015,2.8699114336
Oct 2015,83.103662769
Sep 2015,229.64907032
Aug 2015,359.72092509
Jul 2015,323.54348876
Jun 2015,311.6588857
May 2015,74.554073481
Apr 2015,39.912816208
Mar 2015,31.593768915
Feb 2015,10.901172759
Jan 2015,1.6371692628
Dec 2014,0
Nov 2014,8.6133951141
Oct 2014,84.69213953
Sep 2014,203.96411275
Aug 2014,270.45683463
Jul 2014,389.82754924
Jun 2014,269.91854621
May 2014,118.14285929
Apr 2014,46.75357748
Mar 2014,20.102278964
Feb 2014,7.1801496472
Jan 2014,3.0753991923
Dec 2013,0
Nov 2013,9.404582071
Oct 2013,39.118890407
Sep 2013,184.38554852
Aug 2013,335.47893952
Jul 2013,388.57580358
Jun 2013,308.11892145
May 2013,121.40013087
Apr 2013,46.750798175
Mar 2013,22.516823266
Feb 2013,0
Jan 2013,0
Dec 2012,0
Nov 2012,15.040572915
Oct 2012,74.597131318
Sep 2012,206.27333584
Aug 2012,371.7905774
Jul 2012,387.17869062
Jun 2012,304.44209375
May 2012,142.11501258
Apr 2012,51.273919164
Mar 2012,10.536036746
Feb 2012,2.3078693699
Jan 2012,1.4871678664
Dec 2011,0
Nov 2011,4.3285624074
Oct 2011,72.795820601
Sep 2011,218.44511718
Aug 2011,399.92407522
