Cooling Degree Days New England Monthly
https://www.eia.gov/opendata/qb.php?category=1039993&sdid=STEO.ZWCD_NEC.M
22:28:40 GMT-0800 (Pacific Standard Time)
Source: U.S. Energy Information Administration
Month,Series ID: STEO.ZWCD_NEC.M total degree days
Dec 2022,0
Nov 2022,0
Oct 2022,2.1684076145
Sep 2022,32.290082632
Aug 2022,170.81333616
Jul 2022,199.57011553
Jun 2022,73.034367138
May 2022,7.1883317326
Apr 2022,0
Mar 2022,0
Feb 2022,0
Jan 2022,0
Dec 2021,0
Nov 2021,0
Oct 2021,1.7766202382
Sep 2021,62.278901466
Aug 2021,239.63109978
Jul 2021,158.51580365
Jun 2021,136.18834249
May 2021,7.8190967108
Apr 2021,0
Mar 2021,0
Feb 2021,0
Jan 2021,0
Dec 2020,0
Nov 2020,0
Oct 2020,0
Sep 2020,34.693394232
Aug 2020,214.68955123
Jul 2020,292.21362306
Jun 2020,99.309727763
May 2020,3.2894736651
Apr 2020,0
Mar 2020,0
Feb 2020,0
Jan 2020,0
Dec 2019,0
Nov 2019,0
Oct 2019,0
Sep 2019,28.220838618
Aug 2019,165.87560121
Jul 2019,274.50493295
Jun 2019,63.174556784
May 2019,3.3074315517
Apr 2019,0
Mar 2019,0
Feb 2019,0
Jan 2019,0
Dec 2018,0
Nov 2018,0
Oct 2018,0
Sep 2018,64.413343307
Aug 2018,265.81850141
Jul 2018,254.33360062
Jun 2018,57.372208254
May 2018,25.202652165
Apr 2018,0
Mar 2018,0
Feb 2018,0
Jan 2018,0
Dec 2017,0
Nov 2017,0
Oct 2017,10.664153381
Sep 2017,66.381214312
Aug 2017,128.26538889
Jul 2017,169.79754259
Jun 2017,72.292618915
May 2017,3.0764707704
Apr 2017,0
Mar 2017,0
Feb 2017,0
Jan 2017,0
Dec 2016,0
Nov 2016,0
Oct 2016,0
Sep 2016,61.120684702
Aug 2016,241.36850303
Jul 2016,241.52663199
Jun 2016,74.817534546
May 2016,6.9414417788
Apr 2016,0
Mar 2016,0
Feb 2016,0
Jan 2016,0
Dec 2015,0
Nov 2015,0
Oct 2015,0
Sep 2015,86.52082427
Aug 2015,205.17074776
Jul 2015,193.30779333
Jun 2015,39.390080111
May 2015,30.883765978
Apr 2015,0
Mar 2015,0
Feb 2015,0
Jan 2015,0
Dec 2014,0
Nov 2014,0
Oct 2014,0.48704995654
Sep 2014,32.406448886
Aug 2014,109.18166106
Jul 2014,201.06471854
Jun 2014,68.794774273
May 2014,7.5611382813
Apr 2014,0
Mar 2014,0
Feb 2014,0
Jan 2014,0
Dec 2013,0
Nov 2013,0
Oct 2013,0
Sep 2013,17.245995092
Aug 2013,123.06322443
Jul 2013,303.60849079
Jun 2013,87.701478127
May 2013,8.3620340978
Apr 2013,0
Mar 2013,0
Feb 2013,0
Jan 2013,0
Dec 2012,0
Nov 2012,0
Oct 2012,0.49132913024
Sep 2012,27.14769518
Aug 2012,210.9733241
Jul 2012,245.33517427
Jun 2012,58.008843259
May 2012,20.95565998
Apr 2012,0
Mar 2012,0
Feb 2012,0
Jan 2012,0
Dec 2011,0
Nov 2011,0
Oct 2011,0
Sep 2011,62.501180576
Aug 2011,169.08605517
Jul 2011,247.2840647
Jun 2011,62.82508561
May 2011,11.697455187
Apr 2011,0
Mar 2011,0
Feb 2011,0
Jan 2011,0
Dec 2010,0
Nov 2010,0
Oct 2010,0
Sep 2010,56.862287805
Aug 2010,170.8047448
Jul 2010,282.94495579
Jun 2010,103.18500717
May 2010,20.398602899
Apr 2010,0
Mar 2010,0
Feb 2010,0
Jan 2010,0
Dec 2009,0
Nov 2009,0
Oct 2009,0
Sep 2009,11.768793837
Aug 2009,196.58137986
Jul 2009,108.34948186
Jun 2009,27.493829807
May 2009,5.2474212014
Apr 2009,0
