Cooling Degree Days Pacific Monthly
https://www.eia.gov/opendata/qb.php?category=1039993&sdid=STEO.ZWCD_PAC.M
22:28:47 GMT-0800 (Pacific Standard Time)
Source: U.S. Energy Information Administration
Month,Series ID: STEO.ZWCD_PAC.M total degree days
Dec 2022,8.3122522621
Nov 2022,12.22695626
Oct 2022,39.758441299
Sep 2022,137.75339939
Aug 2022,225.41036807
Jul 2022,231.9420567
Jun 2022,106.30642464
May 2022,45.959337291
Apr 2022,18.265193907
Mar 2022,11.276393844
Feb 2022,7.6561875946
Jan 2022,8.5443516672
Dec 2021,8.3432970623
Nov 2021,12.265861879
Oct 2021,27.405729724
Sep 2021,157.85095416
Aug 2021,251.39993573
Jul 2021,296.01458943
Jun 2021,176.09530391
May 2021,53.223388823
Apr 2021,23.562662944
Mar 2021,7.5440939443
Feb 2021,7.0587040858
Jan 2021,9.5483199427
Dec 2020,10.197939375
Nov 2020,15.500343094
Oct 2020,97.480818421
Sep 2020,209.7918466
Aug 2020,292.0361523
Jul 2020,212.22810266
Jun 2020,110.75112657
May 2020,64.97911251
Apr 2020,19.221265307
Mar 2020,8.2408091342
Feb 2020,7.7550308663
Jan 2020,9.0590656025
Dec 2019,10.309317449
Nov 2019,16.281730248
Oct 2019,40.629383093
Sep 2019,131.83299515
Aug 2019,246.25451645
Jul 2019,209.62196723
Jun 2019,115.935894
May 2019,23.872489044
Apr 2019,26.001505766
Mar 2019,8.4387160148
Feb 2019,5.6347136483
Jan 2019,8.4961540536
Dec 2018,9.5618314541
Nov 2018,16.129023646
Oct 2018,46.114574139
Sep 2018,141.97728584
Aug 2018,256.72470743
Jul 2018,320.48794449
Jun 2018,117.69564269
May 2018,39.455959057
Apr 2018,24.764694234
Mar 2018,9.0480254643
Feb 2018,7.7366040959
Jan 2018,15.216738188
Dec 2017,9.8789817591
Nov 2017,20.841085082
Oct 2017,68.683623921
Sep 2017,139.34951155
Aug 2017,281.45463055
Jul 2017,283.44775013
Jun 2017,149.87149769
May 2017,45.853035304
Apr 2017,25.073197947
Mar 2017,16.903721708
Feb 2017,6.7255414097
Jan 2017,7.1410821956
Dec 2016,8.1616259764
Nov 2016,17.31407742
Oct 2016,47.268018786
Sep 2016,122.31683471
Aug 2016,233.92624197
Jul 2016,235.64427596
Jun 2016,165.72593102
May 2016,36.979071059
Apr 2016,26.986722371
Mar 2016,12.788811675
Feb 2016,15.155511934
Jan 2016,7.9211421753
Dec 2015,10.600011491
Nov 2015,12.396264843
Oct 2015,97.18547597
Sep 2015,193.16814629
Aug 2015,260.80495211
Jul 2015,218.42855935
Jun 2015,175.61325983
May 2015,27.750126011
Apr 2015,22.741895101
Mar 2015,26.847259742
Feb 2015,12.869250386
Jan 2015,10.303088608
Dec 2014,7.5759429653
Nov 2014,18.811259131
Oct 2014,85.997714184
Sep 2014,189.90399887
Aug 2014,228.21897725
Jul 2014,274.07837278
Jun 2014,127.33910721
May 2014,72.192662164
Apr 2014,25.944458771
Mar 2014,15.590642673
Feb 2014,9.737859396
Jan 2014,14.126341593
Dec 2013,8.8607176212
Nov 2013,13.530983995
Oct 2013,26.709486053
Sep 2013,137.4067633
Aug 2013,208.59868196
Jul 2013,250.25509647
Jun 2013,135.31550946
May 2013,58.224954393
Apr 2013,25.218727522
Mar 2013,12.807228928
Feb 2013,7.060695126
Jan 2013,6.6983662958
Dec 2012,8.4945035528
Nov 2012,14.016004727
Oct 2012,53.790375619
Sep 2012,190.62348535
Aug 2012,281.24158942
Jul 2012,182.27193629
Jun 2012,92.171013128
May 2012,50.677534595
Apr 2012,18.386558359
Mar 2012,8.3566351256
Feb 2012,6.8906230672
Jan 2012,10.918026989
Dec 2011,9.1147531376
Nov 2011,10.679416228
Oct 2011,44.59576887
Sep 2011,155.55587795
Aug 2011,203.64302882
Jul 2011,180.80574036
Jun 2011,65.87128948
May 2011,23.055430393
Apr 2011,16.34540645
Mar 2011,10.152975099
Feb 2011,7.4016663244
Jan 2011,7.0423717356
Dec 2010,8.217260884
Nov 2010,9.8018629634
Oct 2010,33.07982315
Sep 2010,130.34755274
Aug 2010,168.54440691
Jul 2010,183.65364716
Jun 2010,87.08412689
May 2010,21.420037697
Apr 2010,9.536943923
Mar 2010,7.9934166732
Feb 2010,6.0540161616
Jan 2010,7.9331870608
Dec 2009,7.4416887252
Nov 2009,14.254074882
Oct 2009,28.04378541
Sep 2009,189.32816849
Aug 2009,211.20778066
Jul 2009,255.31626357
Jun 2009,76.625009689
May 2009,75.808429694
Apr 2009,13.051275484
Mar 2009,7.3876243377
Feb 2009,5.8784678303
Jan 2009,9.9137961459
Dec 2008,8.2460429882
Nov 2008,18.574654601
Oct 2008,60.418772692
Sep 2008,158.66393548
Aug 2008,237.66880562
Jul 2008,225.39894544
Jun 2008,130.4762944
May 2008,34.099916494
Apr 2008,17.6949204
Mar 2008,12.404418134
Feb 2008,7.0723773188
Jan 2008,6.6090121489
Dec 2007,8.6475977284
Nov 2007,14.698809185
Oct 2007,33.182522556
Sep 2007,94.087734043
Aug 2007,236.74150564
Jul 2007,237.43272746
Jun 2007,106.99244029
May 2007,47.809445314
Apr 2007,18.751724893
Mar 2007,15.288161174
Feb 2007,6.1991733359
Jan 2007,8.1047180471
Dec 2006,8.9503575723
Nov 2006,16.442353291
Oct 2006,25.91217472
Sep 2006,122.67505499
Aug 2006,184.94613137
Jul 2006,317.44238595
Jun 2006,161.19519132
May 2006,52.301546589
Apr 2006,9.2676798916
Mar 2006,7.4628621827
Feb 2006,5.4995760466
Jan 2006,8.0787989028
Dec 2005,7.3449126595
Nov 2005,15.659065499
Oct 2005,29.971124095
Sep 2005,82.078662025
Aug 2005,229.80012049
Jul 2005,261.67883889
Jun 2005,67.466063259
May 2005,46.488025941
Apr 2005,14.92239512
Mar 2005,8.1492031985
Feb 2005,6.5537797173
Jan 2005,6.7126792945
Dec 2004,8.3593014845
Nov 2004,9.9230324308
Oct 2004,23.747852404
Sep 2004,134.15171425
Aug 2004,209.67341218
Jul 2004,222.30203101
Jun 2004,104.10383227
May 2004,53.900510272
Apr 2004,22.790057081
Mar 2004,23.078063917
Feb 2004,8.2571693921
Jan 2004,7.1495846564
Dec 2003,8.6220373121
Nov 2003,10.521943152
Oct 2003,82.881189893
Sep 2003,174.78026367
Aug 2003,236.72456368
Jul 2003,278.69899139
Jun 2003,105.20866556
May 2003,37.451842088
Apr 2003,9.9465529274
Mar 2003,11.568329611
Feb 2003,6.5520854301
Jan 2003,14.378724596
Dec 2002,8.3709652412
Nov 2002,15.033806713
Oct 2002,23.439232246
Sep 2002,145.46133187
Aug 2002,182.96772553
Jul 2002,226.99858359
Jun 2002,110.74707029
May 2002,32.468020203
Apr 2002,16.681652705
Mar 2002,7.4135588383
Feb 2002,5.8346681905
Jan 2002,7.5745847502
Dec 2001,9.1807732557
Nov 2001,12.674443637
Oct 2001,53.967324724
Sep 2001,138.53841113
Aug 2001,216.82127106
Jul 2001,171.08056719
Jun 2001,128.87791853
May 2001,90.937851002
Apr 2001,10.449137461
Mar 2001,11.074389695
Feb 2001,6.6451449355
Jan 2001,8.3892574805
Dec 2000,7.8018722742
Nov 2000,9.7887136581
Oct 2000,22.85046933
Sep 2000,119.19919412
Aug 2000,212.02032264
Jul 2000,163.20234401
Jun 2000,134.52005722
