Cooling Degree Days South Atlantic Monthly
https://www.eia.gov/opendata/qb.php?category=1039993&sdid=STEO.ZWCD_SAC.M
22:28:56 GMT-0800 (Pacific Standard Time)
Source: U.S. Energy Information Administration
Month,Series ID: STEO.ZWCD_SAC.M total degree days
Dec 2022,36.901136696
Nov 2022,61.426164931
Oct 2022,138.96375456
Sep 2022,280.04840852
Aug 2022,427.44266752
Jul 2022,452.57454854
Jun 2022,358.25166339
May 2022,210.37101826
Apr 2022,87.71215032
Mar 2022,60.978603403
Feb 2022,39.59427143
Jan 2022,35.46597402
Dec 2021,38.270248283
Nov 2021,60.476366835
Oct 2021,176.3646575
Sep 2021,282.84249409
Aug 2021,455.82531577
Jul 2021,437.02712773
Jun 2021,347.33556742
May 2021,187.98983724
Apr 2021,79.615595708
Mar 2021,70.871295652
Feb 2021,48.906870508
Jan 2021,29.834796804
Dec 2020,21.135972865
Nov 2020,92.338512341
Oct 2020,182.90483836
Sep 2020,271.34954233
Aug 2020,453.17454307
Jul 2020,500.21148766
Jun 2020,340.70680452
May 2020,165.40235243
Apr 2020,108.33321765
Mar 2020,101.81990758
Feb 2020,46.152132918
Jan 2020,46.711835614
Dec 2019,50.597072141
Nov 2019,52.99225993
Oct 2019,203.32506003
Sep 2019,373.95768837
Aug 2019,440.97307039
Jul 2019,480.43112137
Jun 2019,360.21490658
May 2019,292.83735113
Apr 2019,101.04028445
Mar 2019,55.934777793
Feb 2019,66.569889864
Jan 2019,29.3595282
Dec 2018,39.531928348
Nov 2018,65.882587293
Oct 2018,175.51604139
Sep 2018,390.3880904
Aug 2018,438.35718818
Jul 2018,440.60964236
Jun 2018,383.95551609
May 2018,264.5549673
Apr 2018,79.122107936
Mar 2018,34.662985451
Feb 2018,80.537674063
Jan 2018,20.82823377
Dec 2017,38.071786827
Nov 2017,66.192029877
Oct 2017,158.32523388
Sep 2017,281.23459662
Aug 2017,405.61976742
Jul 2017,468.22100611
Jun 2017,336.64591236
May 2017,211.99871155
Apr 2017,123.62011605
Mar 2017,55.85748092
Feb 2017,54.394502785
Jan 2017,50.102239001
Dec 2016,65.183942202
Nov 2016,55.925806051
Oct 2016,156.15950381
Sep 2016,351.66213448
Aug 2016,483.61691238
Jul 2016,508.93869984
Jun 2016,378.5607816
May 2016,184.72857077
Apr 2016,86.912923616
Mar 2016,88.870458739
Feb 2016,23.446821748
Jan 2016,24.789155366
Dec 2015,99.833079267
Nov 2015,102.77562489
Oct 2015,134.83315118
Sep 2015,295.3721311
Aug 2015,410.21696311
Jul 2015,455.75054142
Jun 2015,393.83875384
May 2015,241.65212149
Apr 2015,130.30361541
Mar 2015,83.928560336
Feb 2015,18.824822416
Jan 2015,33.559467212
Dec 2014,36.013984135
Nov 2014,31.38282617
Oct 2014,126.45543522
Sep 2014,279.95181011
Aug 2014,381.57929079
Jul 2014,399.94155483
Jun 2014,350.56746417
May 2014,209.29960695
Apr 2014,82.466462655
Mar 2014,42.458769411
Feb 2014,44.583881992
Jan 2014,20.219443892
Dec 2013,58.180692537
Nov 2013,65.936461827
Oct 2013,134.00735312
Sep 2013,256.28827122
Aug 2013,371.29428746
Jul 2013,415.19547546
Jun 2013,349.3035672
May 2013,155.15342454
Apr 2013,91.016505202
Mar 2013,16.127360499
Feb 2013,35.007563825
Jan 2013,57.390721741
Dec 2012,38.622819979
Nov 2012,28.351705891
Oct 2012,122.04715623
Sep 2012,259.47918582
Aug 2012,400.24920223
Jul 2012,497.357671
Jun 2012,302.18781239
May 2012,247.48231545
Apr 2012,87.020328215
Mar 2012,106.31304417
Feb 2012,46.275770019
Jan 2012,30.852576403
Dec 2011,45.153111915
Nov 2011,57.282635106
Oct 2011,92.657669656
Sep 2011,275.76112596
Aug 2011,455.6547745
Jul 2011,496.53054547
Jun 2011,402.32024836
May 2011,210.60824666
Apr 2011,115.76699176
Mar 2011,56.266908035
Feb 2011,36.043343145
Jan 2011,19.11607466
Dec 2010,3.4604415278
Nov 2010,45.311454943
Oct 2010,117.30521732
Sep 2010,324.03575695
Aug 2010,471.88659175
Jul 2010,496.98920868
Jun 2010,448.96211321
May 2010,251.41141768
Apr 2010,80.292966532
Mar 2010,16.760580437
Feb 2010,7.8639775719
Jan 2010,9.6767774598
Dec 2009,34.840015273
Nov 2009,55.860385209
Oct 2009,135.93931989
Sep 2009,265.13378458
Aug 2009,432.70355303
Jul 2009,383.26481272
Jun 2009,361.58632186
May 2009,202.57373862
Apr 2009,72.826328515
Mar 2009,46.951731112
Feb 2009,17.869412608
Jan 2009,22.53591658
Dec 2008,36.72058674
Nov 2008,26.392597788
Oct 2008,97.974530802
Sep 2008,276.9235989
Aug 2008,382.69903263
Jul 2008,415.40688718
Jun 2008,389.06838866
May 2008,177.4543393
Apr 2008,69.919789712
Mar 2008,50.177779477
Feb 2008,44.631751635
Jan 2008,30.503244072
Dec 2007,52.64895551
Nov 2007,47.599320429
Oct 2007,189.81718865
Sep 2007,307.57004361
Aug 2007,503.4527805
Jul 2007,408.23623886
Jun 2007,338.91783875
May 2007,180.13065475
Apr 2007,60.061707595
Mar 2007,64.293795717
Feb 2007,22.118793922
Jan 2007,47.429840826
Dec 2006,55.503473177
Nov 2006,37.276642115
Oct 2006,105.32225041
Sep 2006,235.31556424
Aug 2006,463.25333517
Jul 2006,448.52535107
Jun 2006,326.76395405
May 2006,168.97155908
Apr 2006,108.82422475
Mar 2006,45.919935005
Feb 2006,19.936407818
Jan 2006,40.415732769
Dec 2005,20.490819963
Nov 2005,60.890755983
Oct 2005,136.53666206
Sep 2005,330.09427308
Aug 2005,461.31402381
Jul 2005,476.52402962
Jun 2005,326.94789872
May 2005,144.06514387
Apr 2005,47.046247428
Mar 2005,36.22072353
Feb 2005,27.912093186
Jan 2005,34.434400081
Dec 2004,21.782294029
Nov 2004,61.078234413
Oct 2004,139.67423977
Sep 2004,266.79942086
Aug 2004,364.82157644
Jul 2004,422.01911495
Jun 2004,345.13869621
May 2004,257.90898023
Apr 2004,55.83648569
Mar 2004,55.10221916
Feb 2004,29.456734083
Jan 2004,22.589240056
Dec 2003,16.047936902
Nov 2003,74.292103949
Oct 2003,123.01967492
Sep 2003,247.41811655
Aug 2003,419.50348057
Jul 2003,407.71342862
Jun 2003,294.16145437
May 2003,198.70295552
Apr 2003,66.60897408
