Cooling Degree Days W. N. Central Monthly
https://www.eia.gov/opendata/qb.php?category=1039993&sdid=STEO.ZWCD_WNC.M
22:29:05 GMT-0800 (Pacific Standard Time)
Source: U.S. Energy Information Administration
Month,Series ID: STEO.ZWCD_WNC.M total degree days
Dec 2022,0
Nov 2022,0.28407337343
Oct 2022,8.3087792156
Sep 2022,88.7770952
Aug 2022,258.45718273
Jul 2022,303.12509638
Jun 2022,186.34618046
May 2022,63.533683391
Apr 2022,6.4959353988
Mar 2022,2.9828935814
Feb 2022,0
Jan 2022,0
Dec 2021,0
Nov 2021,0.28427574613
Oct 2021,24.168763662
Sep 2021,145.7500695
Aug 2021,298.21667023
Jul 2021,302.16518399
Jun 2021,265.28291461
May 2021,43.059214892
Apr 2021,2.9404196416
Mar 2021,8.2641804388
Feb 2021,0
Jan 2021,0
Dec 2020,0
Nov 2020,0.28451869267
Oct 2020,2.522049704
Sep 2020,71.764016608
Aug 2020,246.2257625
Jul 2020,342.8867693
Jun 2020,255.92421775
May 2020,37.077415777
Apr 2020,1.3847399307
Mar 2020,6.0691428683
Feb 2020,0
Jan 2020,0
Dec 2019,0
Nov 2019,0
Oct 2019,2.4016404088
Sep 2019,182.30566081
Aug 2019,224.19147954
Jul 2019,319.77073121
Jun 2019,174.56505711
May 2019,41.783894006
Apr 2019,6.0641705213
Mar 2019,0
Feb 2019,0
Jan 2019,0
Dec 2018,0
Nov 2018,0
Oct 2018,5.642208984
Sep 2018,123.86198335
Aug 2018,257.88130036
Jul 2018,304.1476209
Jun 2018,272.23799817
May 2018,167.82649804
Apr 2018,0
Mar 2018,1.8129181698
Feb 2018,0
Jan 2018,0
Dec 2017,0
Nov 2017,0
Oct 2017,13.978194071
Sep 2017,126.8303188
Aug 2017,165.59992763
Jul 2017,330.33633022
Jun 2017,205.45683693
May 2017,50.548965089
Apr 2017,8.7082144193
Mar 2017,5.7162094622
Feb 2017,2.9625507468
Jan 2017,0
Dec 2016,0
Nov 2016,1.9802665338
Oct 2016,28.436025039
Sep 2016,138.10799324
Aug 2016,268.37141615
Jul 2016,305.99343339
Jun 2016,263.19568693
May 2016,48.660327766
Apr 2016,7.7884807552
