Cooling Degree Days W. S. Central Monthly
https://www.eia.gov/opendata/qb.php?category=1039993&sdid=STEO.ZWCD_WSC.M
22:29:12 GMT-0800 (Pacific Standard Time)
Source: U.S. Energy Information Administration
Month,Series ID: STEO.ZWCD_WSC.M total degree days
Dec 2022,8.9788097621
Nov 2022,38.857949347
Oct 2022,144.59082177
Sep 2022,366.80811163
Aug 2022,562.03253151
Jul 2022,558.73577144
Jun 2022,452.78941153
May 2022,291.43538215
Apr 2022,122.49327797
Mar 2022,62.262485236
Feb 2022,21.386662226
Jan 2022,17.366217916
Dec 2021,11.653705878
Nov 2021,47.905392379
Oct 2021,226.51335824
Sep 2021,404.13655867
Aug 2021,555.77521684
Jul 2021,514.9494607
Jun 2021,457.43904614
May 2021,228.88590557
Apr 2021,85.088950704
Mar 2021,71.282753437
Feb 2021,4.3751267813
Jan 2021,15.123720054
Dec 2020,8.1841930929
Nov 2020,69.568514219
Oct 2020,132.42683924
Sep 2020,325.44767212
Aug 2020,577.45647351
Jul 2020,602.39606545
Jun 2020,457.61038173
May 2020,278.61795021
Apr 2020,105.14263627
Mar 2020,131.62970391
Feb 2020,12.863110417
Jan 2020,29.704964734
Dec 2019,13.19413688
Nov 2019,15.774359704
Oct 2019,139.22978317
Sep 2019,523.48977014
Aug 2019,624.56185288
Jul 2019,548.55818934
Jun 2019,439.00594477
May 2019,291.23122244
Apr 2019,90.986119197
Mar 2019,36.101486232
Feb 2019,24.357305927
Jan 2019,11.920186997
Dec 2018,8.9735033404
Nov 2018,12.649317499
Oct 2018,142.32869782
Sep 2018,391.77002742
Aug 2018,564.65567608
Jul 2018,607.46747046
Jun 2018,550.00033682
May 2018,395.42945164
Apr 2018,57.92372769
Mar 2018,87.326390417
Feb 2018,33.425811778
Jan 2018,4.4853242211
Dec 2017,6.138999513
Nov 2017,67.405314067
Oct 2017,145.50938936
Sep 2017,368.34003362
Aug 2017,508.01721431
Jul 2017,582.11174336
Jun 2017,445.28668106
May 2017,239.73486326
Apr 2017,141.30231351
Mar 2017,111.4219774
Feb 2017,66.88611418
Jan 2017,35.663322643
Dec 2016,16.752414183
Nov 2016,79.802114913
Oct 2016,232.52939303
Sep 2016,429.32248693
Aug 2016,547.04553739
Jul 2016,619.43914201
Jun 2016,475.27238606
May 2016,238.02504658
Apr 2016,122.66405685
Mar 2016,86.035238592
Feb 2016,25.483813629
Jan 2016,9.3181367498
Dec 2015,25.316537508
Nov 2015,51.624231839
Oct 2015,188.00938346
Sep 2015,423.85372562
Aug 2015,561.17012602
Jul 2015,585.82752076
Jun 2015,452.8876725
May 2015,260.41468992
Apr 2015,141.28923788
Mar 2015,39.12717553
Feb 2015,5.6420772834
Jan 2015,5.3181900188
Dec 2014,14.591710841
Nov 2014,10.21446295
Oct 2014,195.49104591
Sep 2014,380.18762099
Aug 2014,556.50380381
Jul 2014,502.38117332
Jun 2014,457.14397188
May 2014,226.02351292
Apr 2014,96.201379188
Mar 2014,21.974837552
Feb 2014,8.3375331545
Jan 2014,4.8074448987
Dec 2013,3.7715167454
Nov 2013,15.359649758
Oct 2013,144.6138687
Sep 2013,432.9454934
Aug 2013,562.86975908
Jul 2013,518.60532753
Jun 2013,490.3679311
May 2013,228.57649754
Apr 2013,63.792628994
Mar 2013,34.226029524
Feb 2013,22.350712133
Jan 2013,17.784379282
Dec 2012,17.664060687
Nov 2012,41.675900206
Oct 2012,121.11785515
Sep 2012,377.4118094
Aug 2012,578.21952716
Jul 2012,588.78280881
Jun 2012,495.32716305
May 2012,341.27463698
Apr 2012,178.77543159
Mar 2012,124.13409671
Feb 2012,21.661126874
Jan 2012,28.377240884
Dec 2011,7.1664932836
Nov 2011,40.81013268
Oct 2011,132.02949225
Sep 2011,385.1287986
Aug 2011,718.89638065
Jul 2011,681.84056408
Jun 2011,582.27793039
May 2011,276.89309182
Apr 2011,185.33380692
Mar 2011,83.296248212
Feb 2011,10.059694948
Jan 2011,7.8544154257
Dec 2010,7.3048668684
Nov 2010,34.343933831
Oct 2010,138.94215351
Sep 2010,402.06323608
Aug 2010,634.06945451
Jul 2010,551.91115178
Jun 2010,534.60567862
May 2010,317.6058655
Apr 2010,103.30571829
Mar 2010,24.608536154
Feb 2010,0.69183199353
Jan 2010,6.0896380227
Dec 2009,1.3156179675
Nov 2009,33.462859524
Oct 2009,112.34749229
Sep 2009,319.48815267
Aug 2009,556.71379321
Jul 2009,583.98280111
Jun 2009,506.45112252
May 2009,275.16504819
Apr 2009,90.698771217
Mar 2009,59.183271444
Feb 2009,33.362948427
Jan 2009,15.365104403
Dec 2008,8.4656517471
Nov 2008,34.843779085
Oct 2008,109.50045997
Sep 2008,298.92002306
Aug 2008,512.72299734
Jul 2008,547.60215721
Jun 2008,508.84886412
May 2008,290.5574356
Apr 2008,99.632403245
Mar 2008,52.414469746
Feb 2008,26.239942067
Jan 2008,9.8358789949
Dec 2007,16.161983519
Nov 2007,42.142870923
Oct 2007,168.11480593
Sep 2007,388.33568217
Aug 2007,568.48897168
Jul 2007,458.21297661
Jun 2007,414.90280027
May 2007,254.06413952
Apr 2007,54.450668903
Mar 2007,96.016630761
Feb 2007,8.6882183059
Jan 2007,7.020923635
Dec 2006,8.5040204001
Nov 2006,39.405320002
Oct 2006,145.67731479
Sep 2006,315.48766459
Aug 2006,610.85162239
Jul 2006,567.90234639
Jun 2006,452.96109054
May 2006,311.28636926
Apr 2006,203.95576275
Mar 2006,84.2580981
Feb 2006,10.552560542
Jan 2006,34.797143779
Dec 2005,4.870379151
Nov 2005,52.862668274
Oct 2005,134.58831415
Sep 2005,474.73920345
Aug 2005,557.81073219
Jul 2005,548.21568256
Jun 2005,468.44759354
May 2005,232.63213779
Apr 2005,85.230939189
Mar 2005,40.26961101
Feb 2005,20.593430012
Jan 2005,26.022790172
Dec 2004,4.8701216952
Nov 2004,43.645073191
Oct 2004,238.94155261
Sep 2004,360.38492814
Aug 2004,456.21457697
Jul 2004,495.48030165
Jun 2004,406.12899258
May 2004,272.77548562
Apr 2004,89.228498886
Mar 2004,88.854684823
Feb 2004,6.4866519268
Jan 2004,16.764001498
Dec 2003,5.9355441332
Nov 2003,52.943391348
Oct 2003,143.06631897
Sep 2003,289.33978115
Aug 2003,563.81526629
Jul 2003,538.11860329
Jun 2003,405.55416468
May 2003,334.67562981
Apr 2003,110.16722401
Mar 2003,38.112245954
Feb 2003,7.0298036891
Jan 2003,6.0815046677
Dec 2002,7.1466305834
Nov 2002,15.515709588
Oct 2002,129.67939943
Sep 2002,372.3305072
Aug 2002,545.12921014
Jul 2002,517.07142204
Jun 2002,436.44179279
May 2002,265.59261203
Apr 2002,166.51981126
Mar 2002,34.526980467
Feb 2002,4.9892450166
Jan 2002,18.170845499
Dec 2001,11.759953798
Nov 2001,53.045199592
Oct 2001,95.439836063
Sep 2001,304.20814177
Aug 2001,561.96295576
Jul 2001,600.78303403
Jun 2001,434.01283532
May 2001,282.57932758
Apr 2001,150.32358842
Mar 2001,18.340452458
Feb 2001,24.081846599
Jan 2001,6.2097192242
Dec 2000,0.66579263199
Nov 2000,15.181581172
Oct 2000,153.80028039
Sep 2000,398.14127974
Aug 2000,619.13289629
Jul 2000,577.91109954
Jun 2000,413.32451119
May 2000,342.36045068
Apr 2000,94.020525744
Mar 2000,90.597290336
Feb 2000,41.839550116
Jan 2000,26.333346583
Dec 1999,7.245277641
Nov 1999,50.599759082
Oct 1999,119.93983209
Sep 1999,336.26721333
Aug 1999,618.43701277
Jul 1999,537.68305722
Jun 1999,430.68068801
May 1999,258.9005758
Apr 1999,147.81235918
Mar 1999,48.232251426
Feb 1999,40.633937273
Jan 1999,25.556471328
Dec 1998,9.9103580344
Nov 1998,51.981790469
Oct 1998,174.1121322
Sep 1998,468.75088708
Aug 1998,581.7911209
Jul 1998,664.56811471
Jun 1998,552.24720468
May 1998,364.40057242
Apr 1998,66.324822034
Mar 1998,30.31552126
Feb 1998,15.236121438
Jan 1998,27.155428625
Dec 1997,4.158370141
Nov 1997,12.692996432
Oct 1997,122.54337716
Sep 1997,398.70368607
Aug 1997,518.75237922
Jul 1997,560.40206684
Jun 1997,387.31772632
May 1997,200.48940154
Apr 1997,36.428172866
Mar 1997,69.656957168
Feb 1997,11.388295449
Jan 1997,9.273925517
Dec 1996,12.695319478
Nov 1996,35.610964615
Oct 1996,124.06896646
Sep 1996,301.8623251
Aug 1996,485.32677396
Jul 1996,568.03796529
Jun 1996,454.64925666
May 1996,384.01405814
Apr 1996,74.970228532
Mar 1996,15.352946635
Feb 1996,16.567298665
Jan 1996,10.795209636
Dec 1995,8.3556180234
Nov 1995,23.313652616
Oct 1995,125.63062488
Sep 1995,340.67207986
Aug 1995,563.3904815
Jul 1995,550.84529651
Jun 1995,372.42550029
May 1995,259.37047457
Apr 1995,79.911312923
Mar 1995,40.897952558
Feb 1995,18.625953682
Jan 1995,14.49305255
Dec 1994,12.939630685
Nov 1994,58.179303151
Oct 1994,138.12908404
Sep 1994,295.67890873
Aug 1994,490.06061988
Jul 1994,525.91563388
Jun 1994,484.86870559
May 1994,212.62718341
Apr 1994,97.06151824
Mar 1994,45.792001257
Feb 1994,10.644247489
Jan 1994,11.17601539
Dec 1993,7.5252432199
Nov 1993,10.034030534
Oct 1993,101.90071885
Sep 1993,336.82404993
Aug 1993,579.58467195
Jul 1993,576.514717
Jun 1993,418.93503428
May 1993,185.45163158
Apr 1993,51.416282602
Mar 1993,31.796853688
Feb 1993,11.007424387
Jan 1993,13.10216369
Dec 1992,11.285124235
Nov 1992,11.646223191
Oct 1992,138.00397107
Sep 1992,339.07480454
Aug 1992,407.1987248
Jul 1992,516.49535779
Jun 1992,391.71244007
May 1992,182.28091175
Apr 1992,80.485810633
Mar 1992,55.312539248
Feb 1992,22.536721775
Jan 1992,7.6132819311
Dec 1991,12.061041661
Nov 1991,9.085929699
Oct 1991,152.9965459
Sep 1991,282.23431525
Aug 1991,498.01375389
Jul 1991,527.74325934
Jun 1991,439.3011333
May 1991,306.71838042
Apr 1991,139.23996595
Mar 1991,62.885000905
Feb 1991,17.284031437
Jan 1991,6.6527015348
Dec 1990,7.6054115157
Nov 1990,46.743210774
Oct 1990,95.682394782
Sep 1990,387.30881783
Aug 1990,526.51121035
Jul 1990,493.61464147
Jun 1990,520.89612022
May 1990,258.97148456
Apr 1990,84.801205855
Mar 1990,49.536156116
Feb 1990,27.232300358
Jan 1990,26.831904486
