Heating Degree Days E. N. Central Monthly
https://www.eia.gov/opendata/qb.php?category=1039991&sdid=STEO.ZWHD_ENC.M
22:04:43 GMT-0800 (Pacific Standard Time)
Source: U.S. Energy Information Administration
Month,Series ID: STEO.ZWHD_ENC.M total degree days
Dec 2022,1117.456276
Nov 2022,729.75247185
Oct 2022,410.19669641
Sep 2022,105.18422497
Aug 2022,21.30494105
Jul 2022,8.1881159103
Jun 2022,39.344307105
May 2022,226.09334662
Apr 2022,477.68939586
Mar 2022,848.2636116
Feb 2022,1025.3748501
Jan 2022,1237.228046
Dec 2021,1112.5181882
Nov 2021,723.10373093
Oct 2021,253.60986996
Sep 2021,57.025031377
Aug 2021,5.2843597509
Jul 2021,6.8844434426
Jun 2021,14.588901898
May 2021,243.77753787
Apr 2021,449.87683926
Mar 2021,689.52398988
Feb 2021,1248.1263295
Jan 2021,1147.3843728
Dec 2020,1035.610155
Nov 2020,599.06297319
Oct 2020,464.47233138
Sep 2020,112.02002622
Aug 2020,12.936362674
Jul 2020,0.7111685788
Jun 2020,22.659658961
May 2020,256.23725091
Apr 2020,566.71003983
Mar 2020,733.17071367
Feb 2020,1001.5494216
Jan 2020,1050.6559894
Dec 2019,974.7216119
Nov 2019,912.71944986
Oct 2019,390.0623602
Sep 2019,42.55804936
Aug 2019,20.355996881
Jul 2019,1.3836808601
Jun 2019,48.561070901
May 2019,236.32905437
Apr 2019,475.17013789
Mar 2019,961.04783555
Feb 2019,1061.8682014
Jan 2019,1302.7478379
Dec 2018,1003.3932265
Nov 2018,913.24995793
Oct 2018,420.05163053
Sep 2018,48.173476206
Aug 2018,8.074910879
Jul 2018,4.0836133044
Jun 2018,23.94269399
May 2018,99.090251719
Apr 2018,703.30584382
Mar 2018,922.3534082
Feb 2018,980.5936691
Jan 2018,1307.5978046
Dec 2017,1197.5274258
Nov 2017,773.47323642
Oct 2017,291.14705451
Sep 2017,64.322810448
Aug 2017,34.055363268
Jul 2017,6.4633515548
Jun 2017,27.280935165
May 2017,249.38754013
Apr 2017,349.31200989
Mar 2017,833.73522659
Feb 2017,775.59528823
Jan 2017,1081.4594366
Dec 2016,1165.7545817
Nov 2016,581.84333924
Oct 2016,285.06557421
Sep 2016,40.423849001
Aug 2016,5.0095777421
Jul 2016,2.4537944025
Jun 2016,25.175921811
May 2016,221.30973446
Apr 2016,506.16634007
Mar 2016,669.6056086
Feb 2016,956.85549749
Jan 2016,1241.3297124
Dec 2015,774.75446941
Nov 2015,603.15535153
Oct 2015,365.35795893
Sep 2015,38.6900626
Aug 2015,24.349926339
Jul 2015,11.613939737
Jun 2015,44.606733006
May 2015,158.80728363
Apr 2015,454.41108023
Mar 2015,951.34132928
Feb 2015,1404.7788559
Jan 2015,1333.8693456
Dec 2014,1009.5088824
Nov 2014,936.68171451
Oct 2014,418.22708993
Sep 2014,119.54759684
Aug 2014,19.462772077
Jul 2014,29.387064539
Jun 2014,27.033112252
May 2014,204.76806971
Apr 2014,495.9952386
Mar 2014,1094.3567022
Feb 2014,1322.655573
Jan 2014,1518.1071797
Dec 2013,1227.6540616
Nov 2013,836.95317518
Oct 2013,392.50194071
Sep 2013,88.732659346
Aug 2013,21.560479311
Jul 2013,8.4840858036
Jun 2013,40.097364094
May 2013,174.39257724
Apr 2013,543.51874336
Mar 2013,1020.9694586
Feb 2013,1089.5224798
Jan 2013,1177.9156018
Dec 2012,931.53530085
Nov 2012,782.3866247
Oct 2012,444.59671413
Sep 2012,119.95883207
Aug 2012,18.017731374
Jul 2012,0.33519497082
Jun 2012,22.406774833
May 2012,122.60173711
Apr 2012,467.35176655
Mar 2012,443.40686001
Feb 2012,900.85358272
Jan 2012,1103.5270449
Dec 2011,954.63475434
Nov 2011,624.54672292
Oct 2011,388.16411171
Sep 2011,128.12981357
Aug 2011,13.419713984
Jul 2011,0.45778041592
Jun 2011,32.065375551
May 2011,215.25211076
Apr 2011,492.73777698
Mar 2011,881.66589214
Feb 2011,1071.6609323
Jan 2011,1370.8584693
Dec 2010,1306.2845454
Nov 2010,718.97693002
Oct 2010,348.88638217
Sep 2010,95.566005488
Aug 2010,4.5035831757
Jul 2010,1.1606533447
Jun 2010,23.041961536
May 2010,166.34364785
Apr 2010,326.9196001
Mar 2010,741.88935996
Feb 2010,1121.931818
Jan 2010,1331.920784
Dec 2009,1162.7045012
Nov 2009,609.39685491
Oct 2009,515.39903532
Sep 2009,94.524745299
Aug 2009,29.704209106
Jul 2009,37.302491257
Jun 2009,45.706946161
May 2009,216.51154464
Apr 2009,493.92840445
Mar 2009,800.22995377
Feb 2009,1018.1970186
Jan 2009,1489.2275354
Dec 2008,1234.2731676
Nov 2008,786.86011901
Oct 2008,435.87060974
Sep 2008,75.375484426
Aug 2008,23.601010462
Jul 2008,7.4641577507
Jun 2008,28.453056869
May 2008,303.93873669
Apr 2008,443.20747018
Mar 2008,954.28203834
Feb 2008,1157.3003564
Jan 2008,1228.0096354
Dec 2007,1134.3623549
Nov 2007,766.07259583
Oct 2007,233.00268784
Sep 2007,60.030816257
Aug 2007,8.5528520276
Jul 2007,11.58181613
Jun 2007,23.318323995
May 2007,146.36023117
Apr 2007,542.21523345
Mar 2007,712.62380157
Feb 2007,1318.5459315
Jan 2007,1118.0191355
Dec 2006,937.18685244
Nov 2006,675.2809494
Oct 2006,503.26328205
Sep 2006,147.16635447
Aug 2006,12.771282533
Jul 2006,1.0409073964
Jun 2006,45.738355487
May 2006,224.01585153
Apr 2006,369.65015679
Mar 2006,850.48280322
Feb 2006,1027.1734238
Jan 2006,912.0885764
Dec 2005,1259.5902205
Nov 2005,688.89196624
Oct 2005,360.21493494
