Heating Degree Days E. S. Central Monthly
https://www.eia.gov/opendata/qb.php?category=1039991&sdid=STEO.ZWHD_ESC.M
22:05:31 GMT-0800 (Pacific Standard Time)
Source: U.S. Energy Information Administration
Month,Series ID: STEO.ZWHD_ESC.M total degree days
Dec 2022,706.56706243
Nov 2022,422.13858414
Oct 2022,186.11704006
Sep 2022,21.514046348
Aug 2022,0.23133915696
Jul 2022,0
Jun 2022,2.3391140888
May 2022,59.298234425
Apr 2022,190.84766304
Mar 2022,423.73055413
Feb 2022,577.83913971
Jan 2022,754.79496735
Dec 2021,684.32044453
Nov 2021,409.03788662
Oct 2021,128.90560498
Sep 2021,19.061123742
Aug 2021,0
Jul 2021,0
Jun 2021,0.92682175112
May 2021,82.517046771
Apr 2021,228.9004494
Mar 2021,337.3747627
Feb 2021,716.29739693
Jan 2021,736.76924609
Dec 2020,725.6395692
Nov 2020,345.00638961
Oct 2020,155.54505497
Sep 2020,19.968510519
Aug 2020,0
Jul 2020,0
Jun 2020,2.6948743505
May 2020,86.102093038
Apr 2020,247.54263025
Mar 2020,292.64666114
Feb 2020,553.43529727
Jan 2020,633.78947052
Dec 2019,572.76922798
Nov 2019,572.89894564
Oct 2019,128.10590142
Sep 2019,1.3948840825
Aug 2019,0
Jul 2019,0
Jun 2019,3.1589197411
May 2019,24.034847768
Apr 2019,165.47390927
Mar 2019,505.08511286
Feb 2019,458.92001039
Jan 2019,747.77488473
Dec 2018,633.48602417
Nov 2018,565.54226625
Oct 2018,138.07468332
Sep 2018,2.5629416021
Aug 2018,0
Jul 2018,0
Jun 2018,0
May 2018,13.056632485
Apr 2018,311.61199336
Mar 2018,474.15528844
Feb 2018,410.11034422
Jan 2018,928.56333077
Dec 2017,728.81453538
Nov 2017,407.12802012
Oct 2017,145.64057019
Sep 2017,23.903178658
Aug 2017,0.70070584825
Jul 2017,0
Jun 2017,3.3929267974
May 2017,56.82403574
Apr 2017,93.614967149
Mar 2017,387.08250449
Feb 2017,408.58647417
Jan 2017,578.80189257
Dec 2016,671.6730162
Nov 2016,339.10067188
Oct 2016,89.000885182
Sep 2016,5.0296123819
Aug 2016,0
Jul 2016,0
Jun 2016,0.23402049717
May 2016,71.226257798
Apr 2016,162.17823043
Mar 2016,323.91933341
Feb 2016,573.36333156
Jan 2016,856.9932651
Dec 2015,401.50951841
Nov 2015,312.99312905
Oct 2015,164.36154422
Sep 2015,13.174351239
Aug 2015,1.1719052764
Jul 2015,0
Jun 2015,0.70337838185
May 2015,37.048909698
Apr 2015,146.52375667
Mar 2015,444.65908488
Feb 2015,863.70607619
Jan 2015,835.41888134
Dec 2014,627.00500043
Nov 2014,625.5893135
Oct 2014,161.75867924
Sep 2014,17.168503462
Aug 2014,0
Jul 2014,0.70422463121
Jun 2014,0.70428847133
May 2014,48.662332641
Apr 2014,181.55213514
Mar 2014,564.81187498
Feb 2014,690.12478922
Jan 2014,1014.7304253
Dec 2013,700.35237828
Nov 2013,543.95451756
Oct 2013,169.51914626
Sep 2013,15.545417133
Aug 2013,0
Jul 2013,0
Jun 2013,1.4110796349
May 2013,69.771486031
Apr 2013,215.93251864
Mar 2013,627.93844558
Feb 2013,623.48848296
Jan 2013,680.99334952
Dec 2012,558.76474127
Nov 2012,527.4138881
Oct 2012,229.8921354
Sep 2012,26.317748943
Aug 2012,0
Jul 2012,0
Jun 2012,2.3387568875
May 2012,21.663483152
Apr 2012,150.88285406
Mar 2012,199.88606864
Feb 2012,517.47344512
Jan 2012,641.59191187
Dec 2011,628.26207076
Nov 2011,379.40664906
Oct 2011,238.40114324
Sep 2011,31.466468024
Aug 2011,0
Jul 2011,0
Jun 2011,0.70666242304
May 2011,63.443069472
Apr 2011,130.86351652
Mar 2011,401.41369676
Feb 2011,571.22961536
Jan 2011,899.07714733
Dec 2010,923.46217454
Nov 2010,413.865983
Oct 2010,172.78635213
Sep 2010,11.25814444
Aug 2010,0
Jul 2010,0
Jun 2010,0
May 2010,31.854602782
Apr 2010,134.07675782
Mar 2010,510.89524218
Feb 2010,820.83155205
Jan 2010,930.41498736
Dec 2009,773.94479608
Nov 2009,406.89898135
Oct 2009,242.17191294
Sep 2009,16.135433811
Aug 2009,0.47079156768
Jul 2009,1.6477655594
Jun 2009,0.70615229689
