Heating Degree Days Middle Atlantic Monthly
https://www.eia.gov/opendata/qb.php?category=1039991&sdid=STEO.ZWHD_MAC.M
22:05:42 GMT-0800 (Pacific Standard Time)
Source: U.S. Energy Information Administration
Month,Series ID: STEO.ZWHD_MAC.M total degree days
Dec 2022,964.47822785
Nov 2022,635.07777563
Oct 2022,366.28165962
Sep 2022,77.718879556
Aug 2022,8.7678751552
Jul 2022,3.0330281333
Jun 2022,25.705243576
May 2022,207.89372824
Apr 2022,473.93411783
Mar 2022,817.97991303
Feb 2022,933.97672597
Jan 2022,1105.6075213
Dec 2021,965.29193477
Nov 2021,639.98392765
Oct 2021,191.92767602
Sep 2021,50.452991312
Aug 2021,2.0349727547
Jul 2021,4.0703102932
Jun 2021,10.079098606
May 2021,215.89635439
Apr 2021,440.41162986
Mar 2021,734.24785883
Feb 2021,1014.9051955
Jan 2021,1065.7994521
Dec 2020,943.48404451
Nov 2020,546.58901353
Oct 2020,337.27267034
Sep 2020,80.846803669
Aug 2020,4.0743042593
Jul 2020,0
Jun 2020,17.757601559
May 2020,249.47240907
Apr 2020,566.34162272
Mar 2020,668.48958717
Feb 2020,838.89402655
Jan 2020,955.90642461
Dec 2019,972.20080577
Nov 2019,790.19590778
Oct 2019,302.61335554
Sep 2019,57.594106027
Aug 2019,9.7211759664
Jul 2019,0.78181320657
Jun 2019,32.136920726
May 2019,188.80105139
Apr 2019,413.59248059
Mar 2019,890.40953853
Feb 2019,941.62306245
Jan 2019,1153.2297488
Dec 2018,929.33863971
Nov 2018,765.92763894
Oct 2018,354.94407079
Sep 2018,33.671165298
Aug 2018,2.3473312524
Jul 2018,0.78250090971
Jun 2018,28.758972014
May 2018,108.11689503
Apr 2018,617.9173696
Mar 2018,913.26081439
Feb 2018,812.55321678
Jan 2018,1215.9992845
Dec 2017,1086.4858673
Nov 2017,698.72683676
Oct 2017,214.83200545
Sep 2017,52.458172154
Aug 2017,17.662252866
Jul 2017,3.3032115283
Jun 2017,24.911800529
May 2017,233.06129074
Apr 2017,341.39085558
Mar 2017,908.69318265
Feb 2017,779.75830991
Jan 2017,971.28918442
Dec 2016,974.6219918
Nov 2016,608.80500521
Oct 2016,316.01586542
Sep 2016,37.617008716
Aug 2016,1.2611127113
Jul 2016,0.78365471369
Jun 2016,21.919680204
May 2016,212.94777276
Apr 2016,515.05095758
Mar 2016,643.87773894
Feb 2016,901.09916798
Jan 2016,1118.6184338
Dec 2015,625.50984126
Nov 2015,529.39130356
Oct 2015,391.38308779
Sep 2015,26.815908314
Aug 2015,8.7600664463
Jul 2015,4.3980699744
Jun 2015,29.700794052
May 2015,99.760486686
Apr 2015,481.19811764
Mar 2015,1002.2414969
Feb 2015,1318.5052566
Jan 2015,1259.5674548
Dec 2014,896.65236369
Nov 2014,757.4912447
Oct 2014,311.38902628
Sep 2014,73.942296833
Aug 2014,19.471023749
Jul 2014,6.5822073586
Jun 2014,19.845098273
May 2014,179.1370756
Apr 2014,505.05798299
Mar 2014,1027.0494713
Feb 2014,1104.2647933
Jan 2014,1305.4423674
Dec 2013,1002.8242017
Nov 2013,748.36039772
Oct 2013,315.36499316
Sep 2013,111.09014874
Aug 2013,17.076279462
Jul 2013,0.7845878488
Jun 2013,22.490839361
May 2013,191.75007617
Apr 2013,480.56606567
Mar 2013,897.25810054
Feb 2013,990.56482868
Jan 2013,1063.7395565
Dec 2012,851.1143913
Nov 2012,756.47647593
Oct 2012,325.14955494
Sep 2012,78.620038558
Aug 2012,6.5862099114
Jul 2012,0.47614153036
Jun 2012,25.122975761
May 2012,108.50559654
Apr 2012,458.67877157
Mar 2012,537.62121798
Feb 2012,815.34599776
Jan 2012,1008.9098363
Dec 2011,849.55523888
Nov 2011,544.51783301
Oct 2011,359.14823016
Sep 2011,48.471126532
Aug 2011,8.3231426799
Jul 2011,0.47531251312
Jun 2011,18.385036346
May 2011,146.03054617
Apr 2011,433.99094924
Mar 2011,837.81247569
Feb 2011,979.60590834
Jan 2011,1258.5922528
Dec 2010,1136.2765407
Nov 2010,666.60818439
Oct 2010,359.50114678
Sep 2010,56.455966903
Aug 2010,5.658049372
Jul 2010,0.78484386385
Jun 2010,13.376881366
May 2010,138.1296315
Apr 2010,350.35591004
Mar 2010,665.16251596
Feb 2010,1013.7046491
Jan 2010,1148.529669
Dec 2009,1043.049796
Nov 2009,546.58296527
Oct 2009,440.87928391
Sep 2009,108.48905621
Aug 2009,6.7539398414
Jul 2009,16.870960506
Jun 2009,49.678176938
May 2009,204.01462179
Apr 2009,443.78397516
Mar 2009,821.62953979
Feb 2009,937.13448687
Jan 2009,1305.3687847
Dec 2008,985.40897006
Nov 2008,710.74635774
Oct 2008,435.06591808
Sep 2008,66.440382828
Aug 2008,22.864547524
Jul 2008,3.140358129
Jun 2008,10.206293319
May 2008,295.25249243
Apr 2008,403.75576603
Mar 2008,848.18143677
Feb 2008,959.08196373
Jan 2008,1043.4117212
Dec 2007,1005.3338418
Nov 2007,718.20565164
Oct 2007,196.35453333
Sep 2007,54.795795864
Aug 2007,7.2508083502
Jul 2007,8.6357670358
Jun 2007,17.952804628
May 2007,165.13504275
Apr 2007,567.37739486
Mar 2007,852.72045433
Feb 2007,1166.4127012
Jan 2007,996.53099398
Dec 2006,797.29056802
Nov 2006,543.92261318
Oct 2006,421.2164492
Sep 2006,118.42018524
Aug 2006,8.8143494893
Jul 2006,0.78496718511
Jun 2006,26.67529011
