Heating Degree Days Mountain Monthly
https://www.eia.gov/opendata/qb.php?category=1039991&sdid=STEO.ZWHD_MTN.M
22:05:51 GMT-0800 (Pacific Standard Time)
Source: U.S. Energy Information Administration
Month,Series ID: STEO.ZWHD_MTN.M total degree days
Dec 2022,914.92014303
Nov 2022,631.57844238
Oct 2022,331.8680529
Sep 2022,110.39406912
Aug 2022,19.675350377
Jul 2022,13.683372229
Jun 2022,75.543111943
May 2022,211.27031903
Apr 2022,407.45076957
Mar 2022,613.36052169
Feb 2022,732.33294815
Jan 2022,897.03547587
Dec 2021,908.07617136
Nov 2021,626.39040755
Oct 2021,331.4829451
Sep 2021,81.993657749
Aug 2021,22.99287025
Jul 2021,4.4706724222
Jun 2021,34.581632103
May 2021,221.19774946
Apr 2021,406.55176469
Mar 2021,644.74529066
Feb 2021,783.3991106
Jan 2021,876.72460947
Dec 2020,885.76912114
Nov 2020,566.99041404
Oct 2020,327.45728713
Sep 2020,104.79689265
Aug 2020,9.0745256736
Jul 2020,14.257429337
Jun 2020,74.46241614
May 2020,186.40693192
Apr 2020,415.14012104
Mar 2020,602.56375147
Feb 2020,765.58199311
Jan 2020,852.00402869
Dec 2019,873.85406345
Nov 2019,620.99912157
Oct 2019,481.60500231
Sep 2019,96.352852745
Aug 2019,16.94309841
Jul 2019,14.798958625
Jun 2019,97.752421224
May 2019,316.59713388
Apr 2019,376.63888391
Mar 2019,670.5930822
Feb 2019,870.00803603
Jan 2019,896.75524045
Dec 2018,901.09684983
Nov 2018,682.04455607
Oct 2018,386.55816358
Sep 2018,90.012841778
Aug 2018,24.921923235
Jul 2018,9.1327144235
Jun 2018,57.013061473
May 2018,164.28014663
Apr 2018,382.5927202
Mar 2018,607.01642013
Feb 2018,750.96824824
Jan 2018,774.24874511
Dec 2017,818.93454754
Nov 2017,492.16124478
Oct 2017,361.00521166
Sep 2017,120.87847743
Aug 2017,26.714947328
Jul 2017,6.4734662607
Jun 2017,59.012272992
May 2017,236.42206013
Apr 2017,406.23772831
Mar 2017,469.53665396
Feb 2017,630.05254597
Jan 2017,965.25824152
Dec 2016,930.03670749
Nov 2016,514.73250859
Oct 2016,266.88235923
Sep 2016,115.67940937
Aug 2016,30.927677142
Jul 2016,14.769260107
Jun 2016,42.492047082
May 2016,255.30684416
Apr 2016,382.70927755
Mar 2016,544.930924
Feb 2016,620.91985312
Jan 2016,920.19613916
Dec 2015,939.27260745
Nov 2015,688.81956993
Oct 2015,248.58049455
Sep 2015,78.476301263
Aug 2015,20.669414391
Jul 2015,24.103982157
Jun 2015,41.812525657
May 2015,268.7372904
Apr 2015,397.64394913
Mar 2015,485.56127197
Feb 2015,602.39959867
Jan 2015,820.22307913
Dec 2014,838.84265639
Nov 2014,655.89483047
Oct 2014,274.20735299
Sep 2014,101.05180228
Aug 2014,37.53689875
Jul 2014,11.251652546
Jun 2014,86.498373863
May 2014,218.99835845
Apr 2014,406.3099353
Mar 2014,584.70022825
Feb 2014,706.61625453
Jan 2014,836.27922909
Dec 2013,971.45702972
Nov 2013,615.439204
Oct 2013,414.89662741
Sep 2013,99.428330348
Aug 2013,16.526953471
Jul 2013,10.586471913
Jun 2013,56.838430415
May 2013,218.01628601
Apr 2013,459.73432089
Mar 2013,593.21455049
Feb 2013,809.40942053
Jan 2013,1019.2730079
Dec 2012,898.68695812
Nov 2012,536.09877947
Oct 2012,345.4355499
Sep 2012,95.491771962
Aug 2012,13.835884277
Jul 2012,7.7422807938
Jun 2012,53.398467111
May 2012,198.99589641
Apr 2012,330.28852936
Mar 2012,534.6108078
Feb 2012,750.84484322
Jan 2012,817.08020707
Dec 2011,964.89802102
Nov 2011,666.27139746
Oct 2011,331.32029837
Sep 2011,103.14831912
Aug 2011,14.014978394
Jul 2011,16.581528584
Jun 2011,98.968913249
May 2011,310.34032954
Apr 2011,444.20866887
Mar 2011,590.042342
Feb 2011,847.20190341
Jan 2011,940.3820729
Dec 2010,795.116835
Nov 2010,689.73256408
Oct 2010,295.572427
Sep 2010,96.865072317
Aug 2010,28.411364712
Jul 2010,18.240036453
Jun 2010,83.093367053
May 2010,312.32535213
Apr 2010,445.92649203
Mar 2010,648.15884588
Feb 2010,780.31329724
Jan 2010,890.8236405
Dec 2009,1047.5106721
Nov 2009,574.79127577
Oct 2009,459.13583919
Sep 2009,104.69579111
Aug 2009,35.866919695
Jul 2009,22.402204037
Jun 2009,110.07041663
May 2009,192.31835948
Apr 2009,445.57203839
Mar 2009,616.08845404
Feb 2009,691.6867526
Jan 2009,839.90651871
Dec 2008,938.17443444
Nov 2008,542.56318999
Oct 2008,334.348789
Sep 2008,134.92829369
Aug 2008,26.093196708
Jul 2008,12.364622537
Jun 2008,92.010995576
May 2008,260.35392394
Apr 2008,471.74031225
Mar 2008,653.73917955
Feb 2008,751.31613252
Jan 2008,1015.7610838
Dec 2007,989.09653212
Nov 2007,550.21902664
Oct 2007,329.83960201
Sep 2007,113.43125295
Aug 2007,15.639708778
Jul 2007,4.2683704484
Jun 2007,64.983607227
May 2007,199.12871552
Apr 2007,400.92583782
Mar 2007,506.60334955
Feb 2007,719.47964007
Jan 2007,1046.9014462
Dec 2006,909.76541507
Nov 2006,592.41843826
Oct 2006,386.9395163
Sep 2006,172.07730275
Aug 2006,28.576593752
Jul 2006,6.4901088261
Jun 2006,48.507995883
May 2006,177.04240787
Apr 2006,362.24088958
Mar 2006,685.57541417
Feb 2006,735.32353031
Jan 2006,810.98390071
Dec 2005,896.31193189
Nov 2005,581.68808003
Oct 2005,322.50654979
Sep 2005,115.77780611
Aug 2005,32.097126767
Jul 2005,10.328592145
Jun 2005,106.59063423
May 2005,223.87086368
Apr 2005,429.0514408
Mar 2005,642.21927971
Feb 2005,705.32752274
Jan 2005,830.45197764
Dec 2004,858.40800414
Nov 2004,690.28615673
Oct 2004,356.71078187
Sep 2004,136.50552314
Aug 2004,45.829989025
Jul 2004,22.313536301
Jun 2004,92.942714895
May 2004,209.37269506
Apr 2004,390.74244352
Mar 2004,468.79670147
Feb 2004,816.95325004
Jan 2004,922.22163204
Dec 2003,855.54281427
Nov 2003,713.49839898
Oct 2003,249.13479776
Sep 2003,134.45457492
Aug 2003,11.744025511
Jul 2003,3.8277760875
Jun 2003,94.8642201
May 2003,210.61566663
Apr 2003,421.11077027
Mar 2003,621.79640938
Feb 2003,776.14078196
Jan 2003,724.25090999
Dec 2002,881.79076023
Nov 2002,647.13455284
Oct 2002,430.39455158
Sep 2002,121.88296515
Aug 2002,31.782949973
Jul 2002,6.1089013652
Jun 2002,53.726351005
May 2002,233.56121078
Apr 2002,360.0176775
Mar 2002,729.38281777
Feb 2002,766.50991568
Jan 2002,936.81634121
Dec 2001,955.19443964
Nov 2001,565.47688384
Oct 2001,322.72344115
Sep 2001,87.600053486
Aug 2001,15.242958088
Jul 2001,11.771383088
Jun 2001,71.563348738
May 2001,190.35798044
Apr 2001,411.81495236
Mar 2001,613.01999008
Feb 2001,792.92271515
Jan 2001,966.86165095
Dec 2000,904.99519312
Nov 2000,858.85650929
Oct 2000,364.68301929
Sep 2000,123.93798515
Aug 2000,13.678247307
Jul 2000,10.703771186
Jun 2000,75.050020753
May 2000,182.03629289
Apr 2000,345.45605125
Mar 2000,625.14672653
Feb 2000,637.00899491
Jan 2000,830.87672644
Dec 1999,883.07839068
Nov 1999,491.82059534
Oct 1999,322.6415378
Sep 1999,163.6632911
Aug 1999,27.622390277
Jul 1999,20.683996751
Jun 1999,104.33069054
May 1999,276.56823226
Apr 1999,521.856705
Mar 1999,582.56438699
Feb 1999,670.25375317
Jan 1999,827.70521386
Dec 1998,927.25489999
Nov 1998,607.87292425
Oct 1998,371.7627794
Sep 1998,76.201792063
Aug 1998,20.668846987
Jul 1998,9.6675786673
Jun 1998,136.86860285
May 1998,239.54697656
Apr 1998,500.44242441
Mar 1998,693.71024073
Feb 1998,767.49555368
Jan 1998,861.87928503
Dec 1997,979.02397346
Nov 1997,669.99885324
Oct 1997,379.52503108
Sep 1997,105.53609033
Aug 1997,30.878513498
Jul 1997,27.376888555
Jun 1997,83.642714002
May 1997,211.07426648
Apr 1997,517.92825448
Mar 1997,569.46748495
Feb 1997,778.69142076
Jan 1997,956.36888242
Dec 1996,886.95513633
Nov 1996,650.74154241
Oct 1996,379.52570443
Sep 1996,168.88791803
Aug 1996,25.663809598
Jul 1996,14.825749144
Jun 1996,70.329689169
May 1996,226.96652185
Apr 1996,414.30274051
Mar 1996,669.04548582
Feb 1996,691.93943517
Jan 1996,934.58877825
Dec 1995,844.07013421
Nov 1995,550.35232958
Oct 1995,381.57052679
Sep 1995,130.54347362
Aug 1995,22.956028407
Jul 1995,32.07328713
Jun 1995,132.23285557
May 1995,328.40650888
Apr 1995,508.72154028
Mar 1995,648.07046358
Feb 1995,612.17158575
Jan 1995,910.54878526
Dec 1994,873.26207999
Nov 1994,784.6179634
Oct 1994,396.24029073
Sep 1994,104.01918564
Aug 1994,15.451111245
Jul 1994,16.982653128
Jun 1994,58.581082756
May 1994,190.81093718
Apr 1994,415.369726
Mar 1994,579.43195874
Feb 1994,829.07982671
Jan 1994,884.85766478
Dec 1993,917.67802416
Nov 1993,794.73867246
Oct 1993,394.79663498
Sep 1993,169.30598352
Aug 1993,56.356413345
Jul 1993,62.565319308
Jun 1993,127.5322296
May 1993,212.28662458
Apr 1993,454.30691845
Mar 1993,633.89427638
Feb 1993,857.38137301
Jan 1993,997.33323918
Dec 1992,1053.0812916
Nov 1992,806.96579109
Oct 1992,313.95760186
Sep 1992,131.23187067
Aug 1992,42.921344651
Jul 1992,45.843157944
Jun 1992,95.226579997
May 1992,190.86508552
Apr 1992,335.99582584
Mar 1992,596.53580365
Feb 1992,668.2118842
Jan 1992,959.93188637
Dec 1991,917.9389051
Nov 1991,738.36920404
Oct 1991,358.50720715
Sep 1991,137.55690637
Aug 1991,24.271773118
Jul 1991,21.39896285
Jun 1991,99.100577001
May 1991,270.49240889
Apr 1991,486.36708202
Mar 1991,727.42550322
Feb 1991,638.98204686
Jan 1991,1027.2921668
Dec 1990,1118.6371864
Nov 1990,634.11062735
Oct 1990,375.15713825
Sep 1990,82.104585822
Aug 1990,33.708481875
Jul 1990,25.694912917
Jun 1990,72.182856445
May 1990,284.93846849
Apr 1990,383.71946382
Mar 1990,628.01601417
Feb 1990,826.64978302
Jan 1990,926.98543232
