Heating Degree Days New England Monthly
https://www.eia.gov/opendata/qb.php?category=1039991&sdid=STEO.ZWHD_NEC.M
22:05:59 GMT-0800 (Pacific Standard Time)
Source: U.S. Energy Information Administration
Month,Series ID: STEO.ZWHD_NEC.M total degree days
Dec 2022,1030.4377261
Nov 2022,691.04916106
Oct 2022,425.63281353
Sep 2022,111.71763249
Aug 2022,19.093749209
Jul 2022,8.0267390422
Jun 2022,49.908091646
May 2022,269.49754899
Apr 2022,559.66347616
Mar 2022,903.03383908
Feb 2022,1007.1675777
Jan 2022,1194.1070779
Dec 2021,1028.9114213
Nov 2021,695.81234465
Oct 2021,287.44798705
Sep 2021,66.089374816
Aug 2021,3.2702667979
Jul 2021,13.48224998
Jun 2021,14.444450454
May 2021,246.34091764
Apr 2021,518.08835183
Mar 2021,837.25809079
Feb 2021,1051.3590844
Jan 2021,1120.7353336
Dec 2020,984.07160986
Nov 2020,613.9184479
Oct 2020,396.1169688
Sep 2020,103.99218404
Aug 2020,9.5215407248
Jul 2020,1.0798587455
Jun 2020,29.009755894
May 2020,287.81097794
Apr 2020,654.5289744
Mar 2020,777.25122019
Feb 2020,922.67178281
Jan 2020,1031.5432024
Dec 2019,1060.4192438
Nov 2019,830.72690702
Oct 2019,388.67717768
Sep 2019,117.78341981
Aug 2019,15.83532217
Jul 2019,1.6824456936
Jun 2019,55.421070502
May 2019,313.05382328
Apr 2019,527.28724528
Mar 2019,976.08163232
Feb 2019,1029.9476861
Jan 2019,1220.7805044
Dec 2018,1026.2308786
Nov 2018,818.19696045
Oct 2018,456.65187427
Sep 2018,64.478193001
Aug 2018,3.4192495641
Jul 2018,1.5944124633
Jun 2018,61.247399578
May 2018,167.84576646
Apr 2018,674.06231819
Mar 2018,925.73236329
Feb 2018,868.611497
Jan 2018,1257.0988691
Dec 2017,1186.2002081
Nov 2017,742.47547242
Oct 2017,237.04313495
Sep 2017,57.351561674
Aug 2017,26.344130048
Jul 2017,9.0408741327
Jun 2017,44.935197343
May 2017,302.83402004
Apr 2017,450.65716012
Mar 2017,1036.1836915
Feb 2017,905.46361142
Jan 2017,1038.0274667
Dec 2016,1053.4668256
Nov 2016,672.21265574
Oct 2016,388.42780192
Sep 2016,67.103412425
Aug 2016,4.978232073
Jul 2016,3.5499589515
Jun 2016,44.545984196
May 2016,251.28400902
Apr 2016,604.88172158
Mar 2016,754.27173467
Feb 2016,956.90787681
Jan 2016,1127.2202806
Dec 2015,725.69368469
Nov 2015,610.01965521
Oct 2015,458.27146059
Sep 2015,43.174881163
Aug 2015,7.8595728825
Jul 2015,6.9907932869
Jun 2015,84.046786671
May 2015,147.52857437
Apr 2015,588.01968398
Mar 2015,1101.239441
Feb 2015,1412.0820487
Jan 2015,1335.8776147
Dec 2014,940.87056432
Nov 2014,785.01588246
Oct 2014,358.2082767
Sep 2014,110.11817572
Aug 2014,32.268826506
Jul 2014,4.2569393594
Jun 2014,46.242032883
May 2014,254.2126986
Apr 2014,582.54944432
Mar 2014,1117.2988802
Feb 2014,1141.8529802
Jan 2014,1303.6659231
Dec 2013,1113.146996
Nov 2013,785.58624445
Oct 2013,397.54157737
Sep 2013,139.19792012
Aug 2013,26.939125079
Jul 2013,1.4283669399
Jun 2013,35.639995474
May 2013,244.76767355
Apr 2013,565.80242193
Mar 2013,921.10941659
Feb 2013,1026.2078472
Jan 2013,1169.8370028
Dec 2012,942.46512378
Nov 2012,780.70157547
Oct 2012,353.92890186
Sep 2012,119.92612709
Aug 2012,7.0302466317
Jul 2012,2.908317297
Jun 2012,58.358290234
May 2012,178.25385119
Apr 2012,490.05301605
Mar 2012,659.69893637
Feb 2012,889.8618288
Jan 2012,1080.3440703
Dec 2011,909.13398855
Nov 2011,592.12423256
Oct 2011,381.44406946
Sep 2011,65.045308384
Aug 2011,14.280759894
Jul 2011,2.6080654418
Jun 2011,54.61696578
May 2011,224.11727271
Apr 2011,530.85054313
Mar 2011,917.97740243
Feb 2011,1105.1781356
Jan 2011,1317.2755398
Dec 2010,1142.0643412
Nov 2010,717.7926211
Oct 2010,419.30190235
Sep 2010,72.637965091
Aug 2010,14.271628396
Jul 2010,1.439500304
Jun 2010,31.564808632
May 2010,176.32497486
Apr 2010,433.12118879
Mar 2010,728.53184402
Feb 2010,993.82244255
Jan 2010,1204.3192726
Dec 2009,1110.5789237
Nov 2009,595.08694984
Oct 2009,515.45892406
Sep 2009,163.93224022
Aug 2009,9.240160377
Jul 2009,26.615094567
Jun 2009,97.439327306
May 2009,262.23246586
Apr 2009,507.13843378
Mar 2009,928.73043869
Feb 2009,1021.5427129
Jan 2009,1407.1749351
Dec 2008,1049.3198047
Nov 2008,753.16632148
Oct 2008,487.80976108
Sep 2008,112.61627298
Aug 2008,35.841196143
Jul 2008,3.5292415755
Jun 2008,31.145644499
May 2008,332.67379381
Apr 2008,518.15025082
Mar 2008,948.95030762
Feb 2008,1023.4571392
Jan 2008,1138.9708688
Dec 2007,1138.9447912
Nov 2007,786.94831816
Oct 2007,285.19898803
Sep 2007,93.124021327
Aug 2007,19.082933723
Jul 2007,11.022876572
Jun 2007,49.297162548
May 2007,230.42767187
Apr 2007,651.60103269
Mar 2007,963.61597117
Feb 2007,1202.3994559
Jan 2007,1107.6561549
Dec 2006,871.75839453
Nov 2006,582.80799313
Oct 2006,461.80201952
Sep 2006,150.56307233
Aug 2006,27.899782192
Jul 2006,1.5008441248
Jun 2006,38.035030137
May 2006,276.58028857
Apr 2006,520.34317936
Mar 2006,918.8053962
Feb 2006,1033.1484649
Jan 2006,1002.9652465
Dec 2005,1137.797145
Nov 2005,682.10843559
Oct 2005,399.06876656
Sep 2005,66.008726687
Aug 2005,6.6096618911
Jul 2005,3.7529561993
Jun 2005,22.723457071
May 2005,420.52658911
Apr 2005,519.24342129
Mar 2005,1042.7703489
Feb 2005,1037.1349283
Jan 2005,1308.3495888
Dec 2004,1087.3874481
Nov 2004,732.35408845
Oct 2004,458.90171522
Sep 2004,109.64299728
Aug 2004,19.692355688
Jul 2004,15.170891635
Jun 2004,82.141854992
May 2004,226.18742131
Apr 2004,554.23876404
Mar 2004,885.37515022
Feb 2004,1054.4259197
Jan 2004,1485.2245718
Dec 2003,1042.8298959
Nov 2003,670.6236601
Oct 2003,498.91662567
Sep 2003,103.35079934
Aug 2003,8.2536752931
Jul 2003,5.1947790758
Jun 2003,71.135268661
May 2003,344.92725561
Apr 2003,669.33399147
Mar 2003,954.94180254
Feb 2003,1192.4024381
Jan 2003,1415.9933849
Dec 2002,1125.5370847
Nov 2002,784.0601243
Oct 2002,510.14269649
Sep 2002,72.472190759
Aug 2002,6.8178096264
Jul 2002,5.5463644945
Jun 2002,75.783636625
May 2002,333.40978195
Apr 2002,501.47272431
Mar 2002,871.3754753
Feb 2002,926.24853992
Jan 2002,1022.0601144
Dec 2001,896.1096448
Nov 2001,621.16143894
Oct 2001,401.57184849
Sep 2001,116.19862748
Aug 2001,4.4463372138
Jul 2001,25.859453226
Jun 2001,26.133085503
May 2001,231.20881534
Apr 2001,576.39262329
Mar 2001,1003.2407556
Feb 2001,1046.1043578
Jan 2001,1254.5860684
Dec 2000,1231.1236252
Nov 2000,743.5590747
Oct 2000,455.70343567
Sep 2000,156.71362623
Aug 2000,35.622950289
Jul 2000,29.7280816
Jun 2000,58.386014957
May 2000,280.981299
Apr 2000,599.51722789
Mar 2000,762.57426753
Feb 2000,988.19799964
Jan 2000,1283.5720333
Dec 1999,993.39084149
Nov 1999,609.97560536
Oct 1999,494.52010527
Sep 1999,70.771199603
Aug 1999,22.936409752
Jul 1999,2.5092879664
Jun 1999,19.022490155
May 1999,238.75676464
Apr 1999,551.71690858
Mar 1999,881.97032102
Feb 1999,967.78173556
Jan 1999,1210.9285358
Dec 1998,918.43384158
Nov 1998,734.42831834
Oct 1998,432.63657665
Sep 1998,99.038563517
Aug 1998,13.328742527
Jul 1998,6.8577081768
Jun 1998,72.844567659
May 1998,185.23350349
Apr 1998,533.24856853
Mar 1998,841.61724514
Feb 1998,882.06734032
Jan 1998,1061.945899
Dec 1997,1061.1982821
Nov 1997,815.62625732
Oct 1997,500.45917067
Sep 1997,147.81321258
Aug 1997,30.646309956
Jul 1997,10.287802963
Jun 1997,53.164334899
May 1997,376.0887833
Apr 1997,642.00223266
Mar 1997,971.78513853
Feb 1997,925.08408467
Jan 1997,1234.1774198
Dec 1996,925.0129191
Nov 1996,856.90173545
Oct 1996,485.48899982
Sep 1996,130.96463454
Aug 1996,19.838616601
Jul 1996,16.60141512
Jun 1996,45.121825056
May 1996,323.32474218
Apr 1996,593.38441703
Mar 1996,1021.3818261
Feb 1996,1093.3999129
Jan 1996,1261.7736662
Dec 1995,1228.8514368
Nov 1995,834.85576792
Oct 1995,349.81436078
Sep 1995,186.46602614
Aug 1995,18.921158554
Jul 1995,2.5972177458
Jun 1995,43.180046586
May 1995,328.99790498
Apr 1995,644.59861707
Mar 1995,860.522527
Feb 1995,1137.2394292
Jan 1995,1051.6803211
Dec 1994,970.2223299
Nov 1994,624.29892958
Oct 1994,456.97772079
Sep 1994,165.49080985
Aug 1994,33.733816068
Jul 1994,1.7080848421
Jun 1994,23.977796952
May 1994,326.61330503
Apr 1994,535.3791616
Mar 1994,954.3725247
Feb 1994,1214.3551059
Jan 1994,1486.7658086
Dec 1993,1094.0142981
Nov 1993,747.02994522
Oct 1993,532.99127448
Sep 1993,143.39499055
Aug 1993,14.389346134
Jul 1993,5.814947832
Jun 1993,57.926851832
May 1993,237.72638109
Apr 1993,575.87295185
Mar 1993,1025.3074168
Feb 1993,1244.5426373
Jan 1993,1169.154178
Dec 1992,1083.2778623
Nov 1992,796.08101176
Oct 1992,549.39272856
Sep 1992,153.98172932
Aug 1992,41.114135869
Jul 1992,34.310500296
Jun 1992,75.09091068
May 1992,313.63564407
Apr 1992,664.46746073
Mar 1992,1022.1058021
Feb 1992,1038.9383385
Jan 1992,1204.8361001
Dec 1991,1060.9453218
Nov 1991,712.78097492
Oct 1991,395.15907028
Sep 1991,176.94867094
Aug 1991,12.848823107
Jul 1991,9.2326730135
Jun 1991,39.721862743
May 1991,159.50565991
Apr 1991,491.40760707
Mar 1991,837.42148059
Feb 1991,945.2326025
Jan 1991,1246.6873619
Dec 1990,931.66606779
Nov 1990,678.6595331
Oct 1990,330.86049467
Sep 1990,152.30487545
Aug 1990,11.873611289
Jul 1990,5.2850794016
Jun 1990,55.622173688
May 1990,365.12794636
Apr 1990,580.09587914
Mar 1990,876.59506763
Feb 1990,988.71131375
Jan 1990,1011.4344581
