Heating Degree Days Pacific Monthly
https://www.eia.gov/opendata/qb.php?category=1039991&sdid=STEO.ZWHD_PAC.M
22:06:08 GMT-0800 (Pacific Standard Time)
Source: U.S. Energy Information Administration
Month,Series ID: STEO.ZWHD_PAC.M total degree days
Dec 2022,607.45616102
Nov 2022,423.92802876
Oct 2022,199.03789042
Sep 2022,49.278085111
Aug 2022,18.155427655
Jul 2022,19.945378439
Jun 2022,65.687547381
May 2022,186.24776037
Apr 2022,340.29107663
Mar 2022,465.10647432
Feb 2022,502.84265189
Jan 2022,601.75801812
Dec 2021,615.85284978
Nov 2021,431.91666027
Oct 2021,235.62049268
Sep 2021,52.013367256
Aug 2021,13.962670975
Jul 2021,10.293199583
Jun 2021,27.582004882
May 2021,170.86343608
Apr 2021,284.63863232
Mar 2021,520.18036826
Feb 2021,492.63506608
Jan 2021,550.84195701
Dec 2020,542.99892829
Nov 2020,412.96124229
Oct 2020,133.24909693
Sep 2020,30.386183805
Aug 2020,15.587298799
Jul 2020,18.690804169
Jun 2020,69.80517874
May 2020,148.23054061
Apr 2020,308.99121942
Mar 2020,526.36887528
Feb 2020,448.01334053
Jan 2020,562.70784663
Dec 2019,575.19757037
Nov 2019,371.39196395
Oct 2019,238.53465738
Sep 2019,64.151809285
Aug 2019,12.203612274
Jul 2019,20.030492571
Jun 2019,60.073173555
May 2019,241.14895616
Apr 2019,275.17113851
Mar 2019,490.52996013
Feb 2019,655.05668236
Jan 2019,541.81368541
Dec 2018,563.90823747
Nov 2018,354.06513492
Oct 2018,186.66122054
Sep 2018,62.103899625
Aug 2018,13.517087049
Jul 2018,8.4814615728
Jun 2018,64.974171948
May 2018,175.47215533
Apr 2018,299.00083009
Mar 2018,486.2369104
Feb 2018,495.44676922
Jan 2018,457.91487887
Dec 2017,506.32599214
Nov 2017,350.97193638
Oct 2017,177.86761495
Sep 2017,44.851516078
Aug 2017,8.5012593823
Jul 2017,14.149329351
Jun 2017,49.80107179
May 2017,170.86266892
Apr 2017,308.6553776
Mar 2017,392.19468433
Feb 2017,495.83491603
Jan 2017,665.69476751
Dec 2016,627.07200902
Nov 2016,331.51882079
Oct 2016,200.64083349
Sep 2016,66.063336408
Aug 2016,11.680960893
Jul 2016,19.838083539
Jun 2016,44.114731622
May 2016,180.99017483
Apr 2016,242.1407067
Mar 2016,395.50964911
Feb 2016,341.56825775
Jan 2016,569.08306814
Dec 2015,619.24299758
Nov 2015,470.65985634
Oct 2015,111.99148624
Sep 2015,57.643399174
Aug 2015,12.782570969
Jul 2015,7.8758199077
Jun 2015,26.17351206
May 2015,208.36682568
Apr 2015,294.50849082
Mar 2015,284.77874448
Feb 2015,334.31663627
Jan 2015,470.36035451
Dec 2014,510.97067678
Nov 2014,353.38463867
Oct 2014,122.30470766
Sep 2014,36.94495242
Aug 2014,10.654458416
Jul 2014,9.3524069711
Jun 2014,62.267506336
May 2014,131.81500394
Apr 2014,276.12221906
Mar 2014,374.67005632
Feb 2014,448.95203249
Jan 2014,437.85127934
Dec 2013,597.0856789
Nov 2013,390.13255726
Oct 2013,238.89868239
Sep 2013,55.543211491
Aug 2013,14.442929705
Jul 2013,12.350941448
Jun 2013,51.205370707
May 2013,157.75317801
Apr 2013,289.04112493
Mar 2013,393.24093096
Feb 2013,519.90440852
Jan 2013,645.07627708
Dec 2012,620.89693163
Nov 2012,372.20111015
Oct 2012,180.39538537
Sep 2012,43.109772242
Aug 2012,14.507966747
Jul 2012,25.369419144
Jun 2012,99.023807728
May 2012,186.06121556
Apr 2012,320.36132333
Mar 2012,512.67225105
Feb 2012,495.39897639
Jan 2012,544.02883562
Dec 2011,637.40076804
Nov 2011,478.9064759
Oct 2011,195.19119136
Sep 2011,39.481439277
Aug 2011,21.913109581
Jul 2011,32.905557042
Jun 2011,116.43350927
May 2011,284.84963172
Apr 2011,383.21033668
Mar 2011,494.03315978
Feb 2011,580.10655842
Jan 2011,556.39271532
Dec 2010,557.96941683
Nov 2010,467.02797293
Oct 2010,206.54185389
Sep 2010,59.596928909
Aug 2010,27.802644884
Jul 2010,25.442395836
Jun 2010,98.579639169
May 2010,285.94492888
Apr 2010,417.64393312
Mar 2010,467.84614033
Feb 2010,472.41659841
Jan 2010,537.8382769
Dec 2009,659.45175594
Nov 2009,407.46409969
Oct 2009,246.5888685
Sep 2009,39.994816443
Aug 2009,20.003344803
Jul 2009,8.7437158065
Jun 2009,86.155596583
May 2009,145.17026123
Apr 2009,357.8527441
Mar 2009,504.95709601
Feb 2009,528.15386408
Jan 2009,534.01842708
Dec 2008,664.12133616
Nov 2008,327.28032124
Oct 2008,184.91631504
Sep 2008,53.226227184
Aug 2008,20.493458738
Jul 2008,21.952562367
Jun 2008,78.457995532
May 2008,205.36713811
Apr 2008,364.67803999
Mar 2008,465.15994177
Feb 2008,507.99756189
Jan 2008,673.78326123
Dec 2007,659.52827965
Nov 2007,374.30355832
Oct 2007,241.03799625
Sep 2007,82.398637288
Aug 2007,21.820340932
Jul 2007,13.024013265
Jun 2007,77.287022265
May 2007,179.96506378
Apr 2007,324.77920307
Mar 2007,372.31393061
Feb 2007,487.60952439
Jan 2007,672.58789751
Dec 2006,589.03168188
Nov 2006,398.29361137
Oct 2006,240.0601721
Sep 2006,57.127666343
Aug 2006,25.072492377
Jul 2006,12.414659373
Jun 2006,44.605590945
May 2006,164.72619106
Apr 2006,384.51358975
Mar 2006,605.69391654
Feb 2006,470.87949551
Jan 2006,565.85406543
Dec 2005,541.63878555
Nov 2005,380.8226769
Oct 2005,212.58998343
Sep 2005,91.186438154
Aug 2005,14.149997807
Jul 2005,15.022813073
Jun 2005,112.37424088
May 2005,172.64351993
Apr 2005,360.97013216
Mar 2005,418.66786005
Feb 2005,478.41106207
Jan 2005,581.8377255
Dec 2004,566.09797422
Nov 2004,486.72862356
Oct 2004,240.14027342
Sep 2004,68.95424495
Aug 2004,10.438978779
Jul 2004,10.095731049
Jun 2004,64.174383986
May 2004,167.51491566
Apr 2004,273.75358592
Mar 2004,311.94822917
Feb 2004,534.05990218
Jan 2004,614.1067291
Dec 2003,593.34082566
Nov 2003,505.94209686
Oct 2003,129.85279934
Sep 2003,40.580028932
Aug 2003,16.345799365
Jul 2003,10.010494164
Jun 2003,62.572432772
May 2003,205.45317814
Apr 2003,431.93358206
Mar 2003,428.1343473
Feb 2003,500.74761965
Jan 2003,429.97552518
Dec 2002,581.78558198
Nov 2002,352.56718146
Oct 2002,249.44566594
Sep 2002,53.944261329
Aug 2002,22.365480654
Jul 2002,15.320488073
Jun 2002,64.87349728
May 2002,227.49153392
Apr 2002,343.37131512
Mar 2002,518.24319536
Feb 2002,454.59706132
Jan 2002,628.98108604
Dec 2001,625.52713352
Nov 2001,391.35440868
Oct 2001,183.8205074
Sep 2001,53.072621689
Aug 2001,18.460632999
Jul 2001,30.47619442
Jun 2001,74.899355144
May 2001,126.43782334
Apr 2001,415.28096953
Mar 2001,421.47713754
Feb 2001,571.33855238
Jan 2001,634.82483665
Dec 2000,529.39718095
Nov 2000,526.5875661
Oct 2000,251.33243436
Sep 2000,66.256626964
Aug 2000,25.804687285
Jul 2000,30.893272413
Jun 2000,55.199014207
May 2000,177.07838105
Apr 2000,283.24892906
Mar 2000,472.68664952
Feb 2000,479.07448215
Jan 2000,564.97260881
Dec 1999,546.02001211
Nov 1999,361.24663456
Oct 1999,161.79309852
Sep 1999,61.11784643
Aug 1999,25.217929006
Jul 1999,31.857277718
Jun 1999,110.62955856
May 1999,260.88969596
Apr 1999,423.68725261
Mar 1999,551.52209415
Feb 1999,526.45940087
Jan 1999,568.41319978
Dec 1998,644.15269305
Nov 1998,447.55451488
Oct 1998,246.74409992
Sep 1998,49.636418407
Aug 1998,14.409802739
Jul 1998,11.525766853
Jun 1998,115.54824161
May 1998,313.64030736
Apr 1998,397.97360086
Mar 1998,466.6891717
Feb 1998,532.03472301
Jan 1998,565.8373893
Dec 1997,620.36487236
Nov 1997,370.92556357
Oct 1997,223.09297594
Sep 1997,43.314332252
Aug 1997,13.020606341
Jul 1997,24.323640938
Jun 1997,86.173286817
May 1997,102.37351742
Apr 1997,312.07559934
Mar 1997,374.69678182
Feb 1997,486.0887436
Jan 1997,583.53671653
Dec 1996,557.80498225
Nov 1996,416.57207026
Oct 1996,244.51604212
Sep 1996,94.246842326
Aug 1996,30.913345624
Jul 1996,17.09578278
Jun 1996,73.798988504
May 1996,196.93897777
Apr 1996,272.27448367
Mar 1996,422.66417028
Feb 1996,447.4454733
Jan 1996,563.59738142
Dec 1995,535.93813244
Nov 1995,309.54338523
Oct 1995,195.18148374
Sep 1995,53.668922581
Aug 1995,41.018496284
Jul 1995,19.705287419
Jun 1995,102.4504248
May 1995,245.59135761
Apr 1995,365.197601
Mar 1995,459.23580029
Feb 1995,378.04437219
Jan 1995,573.85553738
Dec 1994,626.70879191
Nov 1994,596.44889689
Oct 1994,250.15229301
Sep 1994,61.999568384
Aug 1994,29.652212934
Jul 1994,19.316495744
Jun 1994,72.088140963
May 1994,207.91090949
Apr 1994,309.36343076
Mar 1994,388.03013652
Feb 1994,547.95537689
Jan 1994,528.8010985
Dec 1993,598.60226584
Nov 1993,462.01158956
Oct 1993,178.17834624
Sep 1993,67.773409127
Aug 1993,32.824096382
Jul 1993,52.596423398
Jun 1993,79.181836439
May 1993,155.28744554
Apr 1993,309.42594711
Mar 1993,381.51072107
Feb 1993,540.71845944
Jan 1993,660.41033647
Dec 1992,679.02234843
Nov 1992,422.89185611
Oct 1992,177.86992427
Sep 1992,72.241953335
Aug 1992,26.122409323
Jul 1992,26.365758326
Jun 1992,61.969857849
May 1992,110.96689953
Apr 1992,231.28352557
Mar 1992,416.39589467
Feb 1992,405.62591614
Jan 1992,576.7885972
Dec 1991,574.86399335
Nov 1991,379.6426627
Oct 1991,161.96031795
Sep 1991,51.443185395
Aug 1991,31.795825474
Jul 1991,23.754577953
Jun 1991,132.01234437
May 1991,274.73931487
Apr 1991,367.09555809
Mar 1991,578.32621036
Feb 1991,366.55695901
Jan 1991,607.11079192
Dec 1990,726.8421405
Nov 1990,413.81479323
Oct 1990,197.85770991
Sep 1990,61.606218788
Aug 1990,26.065013151
Jul 1990,15.517181784
Jun 1990,73.092356316
May 1990,225.87406416
Apr 1990,259.03501357
Mar 1990,432.49915221
Feb 1990,572.52777881
Jan 1990,593.33762574
