Heating Degree Days W. N. Central Monthly
https://www.eia.gov/opendata/qb.php?category=1039991&sdid=STEO.ZWHD_WNC.M
22:06:37 GMT-0800 (Pacific Standard Time)
Source: U.S. Energy Information Administration
Month,Series ID: STEO.ZWHD_WNC.M total degree days
Dec 2022,1236.7192664
Nov 2022,811.63716486
Oct 2022,427.73568468
Sep 2022,127.55158796
Aug 2022,26.206699031
Jul 2022,14.580439174
Jun 2022,46.827346352
May 2022,206.27586705
Apr 2022,460.86128033
Mar 2022,846.80841321
Feb 2022,1064.6809825
Jan 2022,1321.5818026
Dec 2021,1226.708534
Nov 2021,799.30125527
Oct 2021,318.10464464
Sep 2021,68.559210378
Aug 2021,11.689593905
Jul 2021,7.9762942444
Jun 2021,14.363968253
May 2021,225.6177082
Apr 2021,480.63924787
Mar 2021,672.74766996
Feb 2021,1375.845816
Jan 2021,1180.9703805
Dec 2020,1097.5965969
Nov 2020,662.85669866
Oct 2020,555.53606385
Sep 2020,142.41429653
Aug 2020,18.576229676
Jul 2020,5.9963117917
Jun 2020,20.879750938
May 2020,245.8029557
Apr 2020,533.29893533
Mar 2020,745.38433886
Feb 2020,1070.6015581
Jan 2020,1223.5116152
Dec 2019,1098.4836088
Nov 2019,924.41511944
Oct 2019,526.32208798
Sep 2019,67.629956042
Aug 2019,32.47705108
Jul 2019,8.161100004
Jun 2019,45.548046608
May 2019,272.59469496
Apr 2019,454.76767237
Mar 2019,1002.4503529
Feb 2019,1285.043866
Jan 2019,1359.8689837
Dec 2018,1103.6182652
Nov 2018,1003.1995236
Oct 2018,494.22076914
Sep 2018,90.503639933
Aug 2018,19.541641921
Jul 2018,10.972633468
Jun 2018,23.191179049
May 2018,88.890920954
Apr 2018,716.06819281
Mar 2018,868.91980882
Feb 2018,1178.5727603
Jan 2018,1373.6669126
Dec 2017,1218.689011
Nov 2017,805.7472583
Oct 2017,362.91760116
Sep 2017,77.764476368
Aug 2017,49.616494085
Jul 2017,10.032399037
Jun 2017,36.86212121
May 2017,224.38430409
Apr 2017,400.87908955
Mar 2017,783.01504831
Feb 2017,818.08441367
Jan 2017,1212.3383522
Dec 2016,1257.5300994
Nov 2016,569.06515362
Oct 2016,304.41489771
Sep 2016,75.323589881
Aug 2016,16.861516676
Jul 2016,11.018582549
Jun 2016,27.477407614
May 2016,207.28728677
Apr 2016,424.55007827
Mar 2016,653.65038994
Feb 2016,937.2802177
Jan 2016,1303.7581823
Dec 2015,960.63392773
Nov 2015,650.35351079
Oct 2015,355.47618124
Sep 2015,49.692226968
Aug 2015,33.0181279
Jul 2015,12.299120415
Jun 2015,39.568928686
