Heating Degree Days W. S. Central Monthly
https://www.eia.gov/opendata/qb.php?category=1039991&sdid=STEO.ZWHD_WSC.M
22:06:47 GMT-0800 (Pacific Standard Time)
Source: U.S. Energy Information Administration
Month,Series ID: STEO.ZWHD_WSC.M total degree days
Dec 2022,509.8313834
Nov 2022,256.49164083
Oct 2022,64.792645512
Sep 2022,4.2885923227
Aug 2022,0.24167978908
Jul 2022,0
Jun 2022,0.33806959018
May 2022,9.449574917
Apr 2022,70.237801774
Mar 2022,224.7904638
Feb 2022,363.44248759
Jan 2022,510.76719838
Dec 2021,471.18779157
Nov 2021,226.76156032
Oct 2021,45.102795293
Sep 2021,1.2376598715
Aug 2021,0
Jul 2021,0
Jun 2021,0.073304543582
May 2021,18.251428867
Apr 2021,103.47943348
Mar 2021,199.20096946
Feb 2021,581.4492892
Jan 2021,514.265236
Dec 2020,477.95928318
Nov 2020,176.39955425
Oct 2020,84.214808118
Sep 2020,7.4377286429
Aug 2020,0.24426908468
Jul 2020,0
Jun 2020,0.07372575815
May 2020,12.698070005
Apr 2020,88.910987127
Mar 2020,139.20075846
Feb 2020,401.14049818
Jan 2020,429.9661286
Dec 2019,418.21199502
Nov 2019,345.52306193
Oct 2019,84.320731392
Sep 2019,0.074048815816
Aug 2019,0.074088678873
Jul 2019,0
Jun 2019,0.24573960414
May 2019,11.380533794
Apr 2019,78.219300167
Mar 2019,305.29707489
Feb 2019,356.63410884
Jan 2019,545.16665649
Dec 2018,471.49404605
Nov 2018,372.38151851
Oct 2018,69.554182266
Sep 2018,2.5791203489
Aug 2018,0.074585373471
Jul 2018,0
Jun 2018,0
May 2018,0.4947367104
Apr 2018,141.63468709
Mar 2018,185.97106853
Feb 2018,347.68992462
Jan 2018,659.88746988
Dec 2017,500.81130413
Nov 2017,179.71644066
Oct 2017,58.736642007
Sep 2017,3.2580874481
Aug 2017,0.4969769419
Jul 2017,0
Jun 2017,0.15024786115
May 2017,13.923771383
Apr 2017,51.546050463
Mar 2017,147.23933114
Feb 2017,208.45675209
Jan 2017,417.45712747
Dec 2016,443.57478063
Nov 2016,153.8750915
Oct 2016,21.883834224
Sep 2016,1.2691492084
Aug 2016,0.075496305623
Jul 2016,0
Jun 2016,0
May 2016,17.072641876
Apr 2016,60.812374177
Mar 2016,178.68506388
Feb 2016,310.118681
Jan 2016,564.7149555
Dec 2015,357.60983369
Nov 2015,217.89074941
Oct 2015,41.674201136
Sep 2015,1.2316488957
Aug 2015,0.42824307939
Jul 2015,0
Jun 2015,0
May 2015,14.304807041
Apr 2015,55.218169552
Mar 2015,278.01015678
Feb 2015,497.73303795
Jan 2015,622.87664534
Dec 2014,420.99390597
Nov 2014,389.70997996
Oct 2014,37.166604583
Sep 2014,3.6179939862
Aug 2014,0.076907411579
Jul 2014,0.076979676671
Jun 2014,0.07705191138
May 2014,10.688792469
Apr 2014,80.840195137
Mar 2014,350.99140404
Feb 2014,478.27698167
Jan 2014,650.26353503
Dec 2013,596.62245171
Nov 2013,347.22066125
Oct 2013,65.987362349
Sep 2013,1.2771378451
Aug 2013,0.15558043207
Jul 2013,0
Jun 2013,0.077945043185
May 2013,14.53708566
Apr 2013,123.48159846
Mar 2013,311.04494297
Feb 2013,367.96658909
Jan 2013,497.51801763
Dec 2012,399.98181927
Nov 2012,230.33059162
Oct 2012,84.166487597
Sep 2012,2.8613054544
Aug 2012,0
Jul 2012,0
Jun 2012,0
May 2012,2.3229094347
Apr 2012,32.407708741
Mar 2012,123.3361124
Feb 2012,344.37596887
Jan 2012,430.88713149
Dec 2011,508.15088722
Nov 2011,238.50345727
Oct 2011,67.406450372
Sep 2011,6.6658664239
Aug 2011,0
Jul 2011,0
Jun 2011,0
May 2011,12.026212448
Apr 2011,36.284030691
Mar 2011,194.07673146
Feb 2011,430.68895304
Jan 2011,620.709022
Dec 2010,506.11356485
Nov 2010,246.80408943
Oct 2010,59.089509782
Sep 2010,1.9313378312
Aug 2010,0
Jul 2010,0
Jun 2010,0
May 2010,7.6308862433
Apr 2010,66.928612193
Mar 2010,326.4225786
Feb 2010,593.97151005
Jan 2010,641.00143762
Dec 2009,641.44656558
Nov 2009,228.60007301
Oct 2009,117.04855679
Sep 2009,8.5562806386
Aug 2009,0.52894614047
