U.S. Natural Gas Electric Power Price Monthly
https://www.eia.gov/opendata/qb.php?sdid=NG.N3045US3.M
11:57:16 GMT-0600 (Central Standard Time)
Source: U.S. Energy Information Administration
Month,Series ID: NG.N3045US3.M Dollars per Thousand Cubic Feet
Sep 2021,5.09
Aug 2021,4.45
Jul 2021,4.13
Jun 2021,3.57
May 2021,3.35
Apr 2021,3.14
Mar 2021,3.41
Feb 2021,16.29
Jan 2021,3.33
Dec 2020,3.3
Nov 2020,3.08
Oct 2020,2.57
Sep 2020,2.49
Aug 2020,2.47
Jul 2020,2.1
Jun 2020,2.08
May 2020,2.25
Apr 2020,2.2
Mar 2020,2.23
Feb 2020,2.5
Jan 2020,2.74
Dec 2019,3.04
Nov 2019,3.08
Oct 2019,2.58
Sep 2019,2.68
Aug 2019,2.5
Jul 2019,2.63
Jun 2019,2.66
May 2019,2.85
Apr 2019,2.99
Mar 2019,3.6
Feb 2019,3.78
Jan 2019,4.16
Dec 2018,4.89
Nov 2018,4.34
Oct 2018,3.52
Sep 2018,3.23
Aug 2018,3.39
Jul 2018,3.35
Jun 2018,3.23
May 2018,3.16
Apr 2018,3.26
Mar 2018,3.32
Feb 2018,3.75
Jan 2018,5.38
Dec 2017,3.81
Nov 2017,3.5
Oct 2017,3.24
Sep 2017,3.27
Aug 2017,3.24
Jul 2017,3.32
Jun 2017,3.4
May 2017,3.61
Apr 2017,3.5
Mar 2017,3.51
Feb 2017,3.72
Jan 2017,4.31
Dec 2016,4.15
Nov 2016,3.14
Oct 2016,3.23
Sep 2016,3.18
Aug 2016,3.07
Jul 2016,3.07
Jun 2016,2.77
May 2016,2.49
Apr 2016,2.52
Mar 2016,2.33
Feb 2016,2.83
Jan 2016,3.18
Dec 2015,2.72
Nov 2015,2.78
Oct 2015,3.04
Sep 2015,3.2
Aug 2015,3.23
Jul 2015,3.23
Jun 2015,3.25
May 2015,3.28
Apr 2015,3.24
Mar 2015,3.71
Feb 2015,5.02
Jan 2015,4.31
Dec 2014,4.5
Nov 2014,4.68
Oct 2014,4.23
Sep 2014,4.34
Aug 2014,4.25
Jul 2014,4.58
Jun 2014,4.99
May 2014,5.09
Apr 2014,5.25
Mar 2014,6.29
Feb 2014,7.8
Jan 2014,7.46
Dec 2013,5.11
Nov 2013,4.36
Oct 2013,4.26
Sep 2013,4.22
Aug 2013,4.03
Jul 2013,4.34
Jun 2013,4.56
May 2013,4.79
Apr 2013,4.84
Mar 2013,4.5
Feb 2013,4.59
Jan 2013,4.56
Dec 2012,4.35
Nov 2012,4.43
Oct 2012,4
Sep 2012,3.54
Aug 2012,3.61
Jul 2012,3.54
Jun 2012,3.21
May 2012,3.05
Apr 2012,2.81
Mar 2012,3.09
Feb 2012,3.46
Jan 2012,3.82
Dec 2011,4.18
Nov 2011,4.26
Oct 2011,4.49
Sep 2011,4.71
Aug 2011,4.85
Jul 2011,5.13
Jun 2011,5.2
May 2011,5.04
Apr 2011,5.03
Mar 2011,4.84
Feb 2011,5.29
Jan 2011,5.66
Dec 2010,5.68
Nov 2010,4.55
Oct 2010,4.45
Sep 2010,4.61
Aug 2010,5.06
Jul 2010,5.34
Jun 2010,5.31
May 2010,4.96
Apr 2010,4.91
Mar 2010,5.47
Feb 2010,6.27
Jan 2010,6.98
Dec 2009,6.24
Nov 2009,5.06
Oct 2009,5.04
Sep 2009,4.02
Aug 2009,4.3
Jul 2009,4.47
Jun 2009,4.62
May 2009,4.7
Apr 2009,4.7
Mar 2009,4.92
Feb 2009,5.62
Jan 2009,6.62
Dec 2008,6.9
Nov 2008,6.64
Oct 2008,6.74
Sep 2008,7.81
Aug 2008,8.97
Jul 2008,11.71
Jun 2008,12.41
May 2008,10.97
Apr 2008,10.19
Mar 2008,9.53
Feb 2008,8.87
Jan 2008,8.52
Dec 2007,7.93
Nov 2007,7.28
Oct 2007,7
Sep 2007,6.33
Aug 2007,6.83
Jul 2007,7.03
Jun 2007,7.8
May 2007,7.96
Apr 2007,7.77
Mar 2007,7.64
Feb 2007,8.18
Jan 2007,7.08
Dec 2006,7.57
Nov 2006,7.48
Oct 2006,5.76
Sep 2006,6.27
Aug 2006,7.56
Jul 2006,6.69
Jun 2006,6.69
May 2006,6.89
Apr 2006,7.32
Mar 2006,7.36
Feb 2006,8
Jan 2006,9.15
Dec 2005,11.26
Nov 2005,9.87
Oct 2005,11.84
Sep 2005,10.99
Aug 2005,8.67
Jul 2005,7.57
Jun 2005,7.08
May 2005,6.83
Apr 2005,7.27
Mar 2005,6.84
Feb 2005,6.42
Jan 2005,6.72
Dec 2004,6.88
Nov 2004,6.71
Oct 2004,6.05
Sep 2004,5.39
Aug 2004,5.97
Jul 2004,6.24
Jun 2004,6.52
May 2004,6.3
Apr 2004,5.74
Mar 2004,5.5
Feb 2004,5.76
Jan 2004,6.37
Dec 2003,5.69
Nov 2003,4.85
Oct 2003,4.98
Sep 2003,5.12
Aug 2003,5.23
Jul 2003,5.45
Jun 2003,6.08
May 2003,5.7
Apr 2003,5.38
Mar 2003,7.05
Feb 2003,6.47
Jan 2003,5.33
Dec 2002,4.72
Nov 2002,4.35
Oct 2002,4.19
Sep 2002,3.71
Aug 2002,3.42
Jul 2002,3.49
Jun 2002,3.61
May 2002,3.78
Apr 2002,3.8
Mar 2002,3.37
Feb 2002,2.86
Jan 2002,3.1
