"SQINC1 Personal Income Summary: Personal Income, Population, Per Capita Personal Income"
"" 
"Bureau of Economic Analysis" 
"State or DC"
"GeoFips","GeoName","LineCode","Description","2000:Q1","2000:Q2","2000:Q3","2000:Q4","2001:Q1","2001:Q2","2001:Q3","2001:Q4","2002:Q1","2002:Q2","2002:Q3","2002:Q4","2003:Q1","2003:Q2","2003:Q3","2003:Q4","2004:Q1","2004:Q2","2004:Q3","2004:Q4","2005:Q1","2005:Q2","2005:Q3","2005:Q4","2006:Q1","2006:Q2","2006:Q3","2006:Q4","2007:Q1","2007:Q2","2007:Q3","2007:Q4","2008:Q1","2008:Q2","2008:Q3","2008:Q4","2009:Q1","2009:Q2","2009:Q3","2009:Q4","2010:Q1","2010:Q2","2010:Q3","2010:Q4","2011:Q1","2011:Q2","2011:Q3","2011:Q4","2012:Q1","2012:Q2","2012:Q3","2012:Q4","2013:Q1","2013:Q2","2013:Q3","2013:Q4","2014:Q1","2014:Q2","2014:Q3","2014:Q4","2015:Q1","2015:Q2","2015:Q3","2015:Q4","2016:Q1","2016:Q2","2016:Q3","2016:Q4","2017:Q1","2017:Q2","2017:Q3","2017:Q4","2018:Q1","2018:Q2","2018:Q3","2018:Q4","2019:Q1","2019:Q2","2019:Q3","2019:Q4","2020:Q1","2020:Q2","2020:Q3","2020:Q4","2021:Q1","2021:Q2"
"00000","United States","1","Personal income (millions of dollars, seasonally adjusted)",8444155.7,8585679.9,8745269.2,8843139.2,9005664.9,9028891.9,9006840.9,8997970.3,9037880.7,9137794.1,9185454.8,9269598.4,9307873.6,9418768.4,9551651.4,9687278.6,9784673.8,9951096.7,10096254.6,10317226.9,10340374.1,10512427.7,10680789.7,10864820.5,11173094.1,11326189.8,11423667.8,11573616.4,11816892.7,11981709.1,12061488.8,12196337.3,12335359.1,12667817.7,12505280.1,12395135.1,12052689.3,12079057.3,12024530.7,12137350.7,12311038.1,12537406.3,12675765.0,12821826.6,13170613.6,13272551.1,13404270.4,13474308.9,13782978.7,13937105.4,13907136.3,14386163.6,14010895.7,14150636.3,14240498.3,14354881.7,14616124.9,14868196.5,15092376.4,15301410.1,15492551.5,15635102.7,15753647.9,15843629.9,15913193.8,15998876.6,16148668.1,16310113.5,16550505.8,16736267.5,16925357.7,17167981.0,17383516.1,17573875.6,17795581.9,17971662.4,18218104.7,18323274.3,18443584.5,18623052.5,18822070.0,20329659.1,19755197.1,19522861.8,21849045.1,20548928.3
"00000","United States","2","Population (midperiod, persons) 1/","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",308468490,309038072,309659806,310275835,310785239,311296525,311910576,312528456,313065974,313590277,314214545,314832219,315296285,315778348,316388885,317034047,317564820,318095086,318743327,319403676,319914923,320443009,321076216,321710860,322231438,322769771,323377879,323958199,324408236,324854594,325386672,325878381,326226063,326610488,327073446,327505206,327802488,328130464,328563978,328993529,329269393,329430588,329646660,329933229,330092941,330290763
"00000","United States","3","Per capita personal income (dollars) 2/","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",39910,40569,40934,41324,42379,42636,42975,43114,44026,44444,44260,45695,44437,44812,45009,45279,46026,46741,47350,47906,48427,48792,49065,49248,49384,49567,49937,50346,51018,51519,52016,52682,53287,53807,54409,54874,55576,55841,56134,56606,57163,61712,59928,59172,66191,62215
"01000","Alabama","1","Personal income (millions of dollars, seasonally adjusted)",106186.1,107975.3,108494.4,110205.7,111153.1,112290.6,112138.7,112207.0,112894.5,114553.9,115498.9,116670.8,118111.5,118928.7,120686.8,122766.8,125201.6,127751.6,129904.4,132457.2,133686.9,136009.0,137513.8,140234.9,143222.1,145388.5,146430.4,147728.1,150628.4,152634.7,153560.3,155114.1,155982.9,162940.4,158175.6,156703.4,154517.8,156614.5,155925.4,156596.3,158974.3,161723.0,164445.3,164981.8,167490.6,167761.6,169022.7,169622.4,171805.2,173476.2,171972.3,176192.9,174319.6,175041.3,176099.1,175281.1,176964.1,179958.8,182473.3,184918.8,187220.2,188690.9,190223.3,190327.5,191035.2,191663.8,192797.1,193957.6,196422.1,198319.2,200206.0,202398.4,204314.2,205852.5,207951.3,210096.3,213396.1,215146.5,216621.6,218557.3,221523.4,240126.6,227926.7,225418.5,259487.6,237403.1
"01000","Alabama","2","Population (midperiod, persons) 1/","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",4777041,4782770,4788032,4792367,4795107,4797815,4802349,4807247,4811070,4814535,4819450,4824247,4826744,4829571,4833698,4837723,4840041,4842263,4846064,4849924,4851546,4853403,4856986,4860795,4862857,4865180,4868953,4872717,4874595,4876408,4880452,4884778,4886938,4889702,4894401,4899364,4902271,4905709,4910975,4916419,4919385,4920954,4924127,4928670,4930141,4932200
"01000","Alabama","3","Per capita personal income (dollars) 2/","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",33279,33814,34345,34426,34929,34966,35196,35285,35710,36032,35683,36522,36115,36244,36432,36232,36563,37164,37654,38128,38590,38878,39165,39156,39285,39395,39597,39805,40295,40669,41022,41435,41808,42099,42488,42882,43530,43856,44110,44455,45031,48797,46288,45736,52633,48133
"02000","Alaska *","1","Personal income (millions of dollars, seasonally adjusted)",19707.3,20002.1,20300.8,20479.5,20857.2,21371.2,21379.1,21629.5,21923.2,22117.6,22409.3,22851.0,22808.7,23228.0,23525.6,23798.8,23932.8,24147.9,24520.2,25016.4,25297.5,25765.4,26334.1,26847.9,27305.5,27744.8,27834.1,28289.1,29302.7,29892.0,29987.5,30294.2,32061.3,33134.7,33063.1,33371.5,32526.6,33008.1,33083.5,33495.3,34651.2,35225.2,35775.1,36156.5,36982.7,37735.0,38311.9,38897.4,38971.6,39289.6,39137.2,39665.6,38716.5,38734.6,39155.8,39305.2,40486.2,41091.7,41423.0,41839.0,42474.1,42605.6,42582.9,42557.8,41302.0,41479.3,42000.6,42567.7,41651.8,42175.0,42768.3,43393.3,43472.0,43792.8,44420.4,44725.6,44935.0,45230.1,45370.6,45639.8,45435.5,48456.2,46041.0,45788.5,50812.8,47715.2
"02000","Alaska *","2","Population (midperiod, persons) 1/","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",708447,712121,715110,717287,719281,721284,723477,725652,727712,729758,731774,733633,735202,736761,737598,737598,737379,737141,737359,737840,738031,738269,739008,740106,741037,742012,742454,742186,741673,741148,740519,739538,738291,737131,736322,735674,734770,733948,733448,733072,732407,731605,730832,730138,729197,728469
"02000","Alaska *","3","Per capita personal income (dollars) 2/","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",48911,49465,50027,50407,51416,52316,52955,53603,53554,53839,53483,54067,52661,52574,53086,53288,54905,55745,56177,56705,57551,57710,57622,57502,55735,55901,56570,57354,56159,56905,57754,58676,58882,59410,60327,60795,61155,61626,61859,62258,62036,66233,62998,62712,69683,65501
"04000","Arizona","1","Personal income (millions of dollars, seasonally adjusted)",132630.5,134916.4,137410.6,139742.9,141328.3,142413.0,142807.3,143145.5,145342.9,146732.1,147908.0,150425.9,152481.5,154827.9,157214.6,161309.2,165152.5,168778.9,172109.6,177245.5,180953.6,186554.4,191853.5,195686.4,203976.8,207466.9,211001.8,214469.3,217974.3,220773.1,222733.8,223498.1,222864.9,229922.2,224338.4,220907.5,213238.3,212903.1,211034.9,213407.6,212514.4,215895.3,218305.1,220779.8,225298.6,226595.5,228483.4,230422.8,234167.8,237047.1,235982.2,244039.0,240161.4,243169.5,244888.4,246790.0,252123.8,255360.9,258837.9,262766.6,267031.2,270117.2,271265.9,274847.8,278633.4,280605.8,283136.0,285965.4,292163.5,295884.6,299482.5,304089.0,310873.0,313873.5,317857.4,320324.8,330189.4,332605.7,334720.3,338580.3,350283.0,385259.1,374902.4,363390.1,409853.9,379521.8
"04000","Arizona","2","Population (midperiod, persons) 1/","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",6385037,6399687,6416798,6434549,6449896,6465163,6484811,6506673,6526567,6546070,6567653,6588918,6606778,6624834,6647932,6674067,6697498,6720717,6746899,6773603,6796911,6820390,6847944,6877272,6903891,6930680,6958940,6986514,7010943,7035055,7063884,7094536,7121796,7149569,7181461,7214922,7245115,7275739,7310196,7345938,7378105,7407412,7439087,7473388,7503701,7534248
"04000","Arizona","3","Per capita personal income (dollars) 2/","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",33283,33735,34021,34312,34931,35049,35234,35413,35879,36212,35931,37038,36351,36706,36837,36977,37644,37996,38364,38793,39287,39604,39613,39965,40359,40487,40687,40931,41673,42059,42396,42862,43651,43901,44261,44398,45574,45714,45788,46091,47476,52010,50396,48625,54620,50373
"05000","Arkansas","1","Personal income (millions of dollars, seasonally adjusted)",59755.0,60570.5,61581.1,62177.2,63902.9,64439.1,64197.4,64481.9,64799.6,65476.7,65972.1,66833.3,68315.9,69062.7,70178.9,71411.5,72539.0,73703.6,74790.7,76586.0,76728.6,77990.7,78728.2,80555.2,82011.0,83420.2,83984.8,84873.8,86569.5,88483.5,89236.0,92393.2,91116.1,95245.5,92859.5,92237.7,91791.4,91092.4,90559.4,91240.0,91976.1,94257.5,95914.2,96156.4,99525.5,99724.8,101212.0,102494.7,106004.7,107754.5,106758.9,110991.0,107782.3,108226.1,108785.2,108677.5,111803.6,114221.9,115468.9,117478.9,117047.3,118150.5,119449.8,120230.4,120699.4,121458.6,122279.1,122866.5,124270.5,125062.4,126010.2,127776.6,128331.4,130130.6,131577.6,133421.1,134022.9,134512.9,135831.7,136843.3,138921.8,150394.2,141548.5,141726.9,162901.7,149122.2
"05000","Arkansas","2","Population (midperiod, persons) 1/","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",2913213,2918977,2924852,2930096,2934318,2938592,2942884,2946231,2948861,2951393,2954412,2956967,2958048,2959393,2961854,2964523,2966087,2967707,2970703,2974146,2976103,2978327,2981660,2985162,2987556,2990183,2993778,2997409,2999789,3002204,3005353,3007994,3009269,3010961,3013701,3016441,3017916,3019728,3022961,3026581,3028684,3029995,3032333,3035564,3036787,3038401
"05000","Arkansas","3","Per capita personal income (dollars) 2/","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",31572,32291,32793,32817,33918,33936,34392,34788,35948,36510,36135,37535,36437,36570,36729,36659,37694,38488,38869,39500,39329,39670,40062,40276,40401,40619,40844,40991,41426,41657,41929,42479,42645,43219,43660,44231,44409,44545,44933,45214,45869,49635,46680,46689,53643,49079
"06000","California","1","Personal income (millions of dollars, seasonally adjusted)",1101562.4,1121080.4,1158115.6,1161415.1,1182400.2,1177693.8,1170156.3,1165264.2,1174659.1,1184953.1,1193836.4,1207446.4,1215893.0,1233661.7,1254855.0,1269452.3,1288175.1,1309628.8,1324715.1,1352458.2,1357135.3,1381421.7,1407566.7,1433295.8,1482238.1,1492347.9,1510549.2,1529882.5,1553525.0,1571734.9,1574648.7,1590976.9,1591475.0,1609955.8,1602266.6,1575272.5,1542063.0,1541037.8,1533140.3,1547249.3,1582060.4,1607697.2,1613533.6,1652871.8,1700226.8,1706267.6,1725332.9,1729080.6,1786135.4,1808358.6,1808445.3,1905728.1,1817215.5,1848098.9,1867393.2,1896095.8,1923713.3,1960824.8,2003994.1,2034415.2,2084189.7,2117632.1,2138781.8,2161117.7,2194270.3,2204929.7,2226396.9,2248234.2,2288241.5,2306107.8,2325376.1,2354852.3,2387750.2,2419125.1,2449911.3,2470501.2,2515856.4,2533947.7,2549323.3,2577812.5,2631478.1,2801274.0,2851416.5,2769079.4,3052950.7,2919391.2
"06000","California","2","Population (midperiod, persons) 1/","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",37210595,37286381,37365281,37451605,37525307,37597037,37680174,37763416,37836357,37906496,37991364,38078439,38147665,38215641,38300046,38391267,38469171,38545506,38633979,38722364,38793917,38865317,38940551,39008270,39062908,39118183,39178822,39234962,39275811,39313978,39356311,39389401,39406342,39424643,39443390,39450951,39443263,39436971,39440607,39441890,39427174,39392248,39363261,39349300,39320927,39289961
